show_id,movie_id,theater_id,screen_id,show_date,start_time,price,available_seats,status
SH_32,MV_3832,TH_112,SC_454,2025-11-23,14:45:00,371.27,170,active
SH_33,MV_7024,TH_196,SC_526,2023-10-21,18:00:00,327.97,164,active
SH_35,MV_4316,TH_453,SC_620,2024-11-29,11:00:00,431.93,167,active
SH_37,MV_4120,TH_352,SC_110,2023-09-10,22:15:00,171.47,183,active
SH_38,MV_2734,TH_443,SC_115,2025-07-10,19:00:00,417.91,133,active
SH_39,MV_959,TH_415,SC_88,2023-07-07,21:15:00,418.25,80,active
SH_40,MV_4372,TH_262,SC_403,2023-10-22,18:15:00,167.07,129,active
SH_41,MV_8793,TH_114,SC_410,2024-02-09,10:30:00,245.2,102,active
SH_42,MV_8031,TH_461,SC_83,2025-11-06,21:45:00,291.86,185,active
SH_43,MV_6936,TH_488,SC_749,2023-04-17,11:00:00,498.21,74,active
SH_44,MV_6968,TH_486,SC_623,2023-08-22,14:30:00,314.16,79,active
SH_45,MV_2274,TH_500,SC_147,2024-11-22,21:15:00,408.44,197,active
SH_46,MV_2449,TH_149,SC_54,2025-05-15,21:45:00,273.82,164,active
SH_48,MV_8165,TH_97,SC_109,2023-02-02,21:15:00,235.05,76,active
SH_50,MV_1209,TH_156,SC_772,2024-12-14,20:45:00,454.09,118,active
SH_51,MV_9092,TH_278,SC_43,2023-03-26,22:45:00,177.88,107,active
SH_52,MV_4072,TH_334,SC_803,2025-07-02,19:30:00,415.87,58,active
SH_54,MV_8068,TH_477,SC_200,2024-03-09,20:45:00,475.27,137,active
SH_55,MV_5088,TH_274,SC_81,2023-06-18,12:15:00,357.15,52,active
SH_56,MV_9058,TH_261,SC_555,2023-07-12,21:45:00,419.33,108,active
SH_57,MV_2670,TH_408,SC_195,2024-09-09,22:45:00,291.09,171,active
SH_60,MV_5206,TH_314,SC_931,2023-09-27,10:00:00,255.0,185,active
SH_61,MV_2860,TH_431,SC_715,2024-11-22,21:30:00,286.26,142,active
SH_62,MV_4046,TH_118,SC_64,2024-08-01,12:00:00,463.86,102,active
SH_63,MV_5687,TH_442,SC_767,2025-02-19,15:00:00,257.56,88,active
SH_64,MV_2745,TH_250,SC_327,2023-03-11,17:15:00,405.39,191,active
SH_65,MV_3972,TH_253,SC_186,2023-07-02,17:45:00,244.69,51,active
SH_66,MV_2481,TH_433,SC_919,2025-02-27,12:15:00,288.62,133,active
SH_67,MV_963,TH_300,SC_445,2024-11-05,18:15:00,428.54,72,active
SH_68,MV_4912,TH_44,SC_364,2023-04-10,14:45:00,354.52,174,active
SH_69,MV_8477,TH_483,SC_389,2024-04-06,17:30:00,394.91,110,active
SH_70,MV_3849,TH_441,SC_916,2025-01-15,20:15:00,438.62,68,active
SH_71,MV_4321,TH_33,SC_272,2024-02-21,21:45:00,220.77,125,active
SH_72,MV_9258,TH_391,SC_175,2025-08-01,22:45:00,327.6,59,active
SH_73,MV_3962,TH_331,SC_31,2024-01-08,19:15:00,329.36,195,active
SH_74,MV_8838,TH_102,SC_368,2024-07-28,18:00:00,403.08,191,active
SH_75,MV_6123,TH_365,SC_676,2023-03-12,16:30:00,363.89,172,active
SH_76,MV_370,TH_427,SC_392,2024-01-12,22:00:00,279.98,127,active
SH_77,MV_8254,TH_15,SC_989,2025-06-17,17:15:00,237.62,55,active
SH_78,MV_2224,TH_11,SC_760,2024-11-07,22:15:00,221.16,136,active
SH_79,MV_5342,TH_22,SC_929,2024-08-31,15:45:00,485.84,123,active
SH_81,MV_1370,TH_8,SC_711,2025-12-28,15:00:00,483.57,197,active
SH_82,MV_6068,TH_105,SC_998,2023-07-28,11:00:00,470.81,101,active
SH_83,MV_6784,TH_331,SC_113,2024-05-30,19:45:00,216.91,84,active
SH_84,MV_3599,TH_124,SC_461,2023-05-16,12:45:00,366.13,158,active
SH_85,MV_1737,TH_35,SC_775,2024-10-26,10:15:00,389.48,146,active
SH_86,MV_5406,TH_287,SC_351,2023-09-19,11:15:00,487.11,179,active
SH_87,MV_4758,TH_187,SC_577,2024-01-06,22:30:00,273.09,92,active
SH_88,MV_5755,TH_315,SC_961,2024-07-22,16:45:00,478.23,95,active
SH_89,MV_6646,TH_154,SC_796,2025-10-16,15:00:00,318.18,124,active
SH_90,MV_7696,TH_362,SC_322,2024-09-16,15:00:00,390.81,81,active
SH_91,MV_4061,TH_308,SC_378,2024-08-31,13:45:00,220.11,127,active
SH_92,MV_4384,TH_16,SC_938,2023-10-28,20:00:00,425.69,111,active
SH_93,MV_3341,TH_3,SC_740,2023-03-07,11:00:00,150.59,97,active
SH_94,MV_4361,TH_458,SC_83,2025-09-20,11:45:00,454.83,187,active
SH_95,MV_635,TH_293,SC_12,2025-07-09,20:00:00,179.34,55,active
SH_96,MV_2749,TH_381,SC_508,2025-01-14,12:00:00,303.97,53,active
SH_97,MV_7322,TH_87,SC_178,2024-05-09,19:15:00,489.61,101,active
SH_98,MV_577,TH_335,SC_286,2023-08-30,21:45:00,496.97,83,active
SH_99,MV_2459,TH_457,SC_294,2023-03-20,14:45:00,340.01,125,active
SH_100,MV_4275,TH_179,SC_796,2025-03-12,13:30:00,393.44,157,active
SH_101,MV_1277,TH_486,SC_137,2023-05-04,13:15:00,226.24,185,active
SH_102,MV_9309,TH_144,SC_42,2025-08-12,18:45:00,353.22,190,active
SH_103,MV_5180,TH_209,SC_821,2024-10-29,14:00:00,221.56,145,active
SH_104,MV_4456,TH_265,SC_941,2023-08-13,21:00:00,165.81,191,active
SH_105,MV_724,TH_72,SC_564,2023-01-03,14:15:00,309.56,136,active
SH_106,MV_1337,TH_391,SC_405,2025-03-01,13:00:00,319.67,188,active
SH_107,MV_9021,TH_311,SC_150,2025-10-14,14:00:00,328.6,99,active
SH_108,MV_4228,TH_344,SC_904,2024-05-19,15:00:00,357.15,52,active
SH_109,MV_6177,TH_456,SC_615,2023-08-25,14:00:00,416.48,57,active
SH_110,MV_3038,TH_274,SC_240,2025-11-09,17:00:00,470.85,136,active
SH_111,MV_5149,TH_169,SC_929,2025-08-06,19:45:00,169.17,139,active
SH_112,MV_9844,TH_57,SC_575,2025-11-19,13:30:00,497.41,162,active
SH_113,MV_6079,TH_350,SC_176,2025-10-01,13:45:00,184.62,120,active
SH_114,MV_3314,TH_147,SC_441,2023-04-11,22:00:00,231.21,80,active
SH_115,MV_7124,TH_245,SC_395,2025-07-30,21:45:00,465.91,179,active
SH_116,MV_8968,TH_143,SC_815,2023-07-23,22:45:00,465.66,99,active
SH_117,MV_6665,TH_350,SC_42,2025-11-21,16:45:00,343.45,83,active
SH_118,MV_6118,TH_203,SC_465,2024-02-24,14:00:00,237.24,127,active
SH_119,MV_4732,TH_351,SC_908,2023-12-16,19:15:00,480.88,177,active
SH_120,MV_880,TH_290,SC_36,2024-07-30,10:00:00,259.91,55,active
SH_121,MV_2871,TH_388,SC_688,2024-11-11,14:30:00,230.19,55,active
SH_122,MV_2918,TH_266,SC_581,2025-02-20,16:45:00,249.55,157,active
SH_123,MV_261,TH_191,SC_196,2024-02-25,17:15:00,436.75,191,active
SH_124,MV_5969,TH_307,SC_990,2024-12-10,14:45:00,435.6,85,active
SH_125,MV_3435,TH_206,SC_700,2024-03-04,10:30:00,411.56,176,active
SH_126,MV_5710,TH_140,SC_479,2025-07-18,11:00:00,346.21,84,active
SH_127,MV_6460,TH_74,SC_374,2025-01-22,13:00:00,179.38,148,active
SH_128,MV_9849,TH_175,SC_272,2024-07-07,13:15:00,306.02,57,active
SH_129,MV_4505,TH_351,SC_860,2023-12-20,21:30:00,486.18,63,active
SH_130,MV_6375,TH_122,SC_171,2025-08-18,12:30:00,459.11,143,active
SH_131,MV_1444,TH_203,SC_231,2025-11-21,15:30:00,456.08,64,active
SH_132,MV_3881,TH_417,SC_183,2025-09-07,16:45:00,228.02,72,active
SH_133,MV_7021,TH_151,SC_750,2025-09-28,13:30:00,391.98,116,active
SH_134,MV_4307,TH_383,SC_323,2025-09-13,21:15:00,251.08,157,active
SH_135,MV_9184,TH_292,SC_550,2024-08-07,22:15:00,192.36,119,active
SH_136,MV_2046,TH_404,SC_62,2025-04-26,18:45:00,451.48,77,active
SH_137,MV_8397,TH_275,SC_94,2024-11-30,22:45:00,180.8,89,active
SH_138,MV_3131,TH_82,SC_287,2023-09-08,19:45:00,194.89,182,active
SH_139,MV_523,TH_27,SC_330,2024-11-18,16:00:00,416.7,185,active
SH_140,MV_9475,TH_347,SC_572,2023-02-23,20:45:00,358.75,140,active
SH_141,MV_935,TH_221,SC_836,2024-04-10,14:15:00,435.01,75,active
SH_142,MV_7244,TH_460,SC_210,2023-10-07,22:30:00,434.23,50,active
SH_143,MV_217,TH_19,SC_861,2024-01-02,12:00:00,411.33,122,active
SH_144,MV_3233,TH_329,SC_821,2024-09-29,15:15:00,312.77,110,active
SH_145,MV_1736,TH_137,SC_147,2024-03-17,22:00:00,380.05,63,active
SH_146,MV_4018,TH_141,SC_810,2023-12-24,14:45:00,330.57,161,active
SH_147,MV_4858,TH_394,SC_174,2023-08-26,19:00:00,224.85,116,active
SH_148,MV_3963,TH_317,SC_270,2024-12-05,18:45:00,172.32,170,active
SH_150,MV_5115,TH_244,SC_740,2024-12-27,15:15:00,401.29,53,active
SH_151,MV_5019,TH_73,SC_950,2023-05-31,20:15:00,373.61,146,active
SH_152,MV_9650,TH_458,SC_658,2025-11-04,20:45:00,204.36,56,active
SH_153,MV_4700,TH_62,SC_7,2023-10-31,10:30:00,201.16,75,active
SH_156,MV_8955,TH_261,SC_896,2023-12-27,10:15:00,218.11,114,active
SH_157,MV_1580,TH_32,SC_978,2024-10-02,17:15:00,325.43,148,active
SH_158,MV_9846,TH_313,SC_327,2025-06-04,17:45:00,207.78,66,active
SH_159,MV_5678,TH_106,SC_979,2025-07-31,12:00:00,494.26,189,active
SH_160,MV_4456,TH_12,SC_523,2024-01-06,12:00:00,481.14,60,active
SH_161,MV_2130,TH_190,SC_357,2025-09-03,12:30:00,478.16,98,active
SH_162,MV_8303,TH_352,SC_358,2024-05-20,22:45:00,404.49,196,active
SH_163,MV_5022,TH_382,SC_106,2023-05-29,10:00:00,360.5,108,active
SH_164,MV_4826,TH_63,SC_958,2023-02-09,19:30:00,281.45,176,active
SH_165,MV_4572,TH_176,SC_179,2023-07-05,14:45:00,316.96,141,active
SH_166,MV_1325,TH_118,SC_741,2025-03-21,15:45:00,499.55,109,active
SH_167,MV_3036,TH_398,SC_469,2025-09-04,15:45:00,274.81,180,active
SH_168,MV_327,TH_400,SC_678,2025-05-11,18:15:00,205.16,77,active
SH_169,MV_3295,TH_244,SC_63,2025-07-13,10:00:00,454.64,163,active
SH_170,MV_4774,TH_60,SC_154,2023-12-31,12:15:00,329.37,117,active
SH_171,MV_8025,TH_430,SC_212,2025-09-04,16:15:00,237.13,93,active
SH_172,MV_9655,TH_448,SC_538,2025-08-25,12:15:00,189.34,152,active
SH_173,MV_5717,TH_468,SC_339,2025-11-09,13:45:00,247.88,186,active
SH_174,MV_9325,TH_190,SC_21,2025-11-17,11:15:00,248.88,141,active
SH_175,MV_5045,TH_315,SC_895,2025-12-18,10:30:00,376.83,149,active
SH_176,MV_7706,TH_374,SC_54,2024-03-21,11:15:00,208.81,55,active
SH_177,MV_3598,TH_248,SC_561,2023-11-08,13:30:00,494.27,118,active
SH_178,MV_2683,TH_156,SC_869,2023-11-02,15:30:00,333.26,182,active
SH_179,MV_2655,TH_31,SC_727,2023-04-09,20:00:00,403.24,52,active
SH_180,MV_2306,TH_487,SC_523,2025-02-16,12:45:00,330.02,105,active
SH_181,MV_6737,TH_229,SC_56,2024-03-17,17:15:00,390.22,190,active
SH_182,MV_3752,TH_11,SC_757,2024-10-16,19:30:00,482.84,72,active
SH_183,MV_5743,TH_230,SC_671,2025-12-05,12:30:00,367.71,103,active
SH_184,MV_6201,TH_445,SC_481,2025-05-14,22:45:00,171.34,154,active
SH_185,MV_2276,TH_131,SC_267,2024-07-11,13:45:00,412.92,168,active
SH_186,MV_982,TH_238,SC_372,2025-05-07,18:45:00,274.93,177,active
SH_187,MV_1833,TH_225,SC_311,2025-01-07,11:30:00,317.02,50,active
SH_188,MV_2231,TH_213,SC_772,2025-09-12,17:00:00,283.87,171,active
SH_189,MV_773,TH_449,SC_330,2023-08-27,16:15:00,458.67,154,active
SH_190,MV_3303,TH_317,SC_76,2023-11-11,14:30:00,188.01,120,active
SH_191,MV_7885,TH_246,SC_134,2024-03-18,12:45:00,314.95,157,active
SH_192,MV_9489,TH_11,SC_309,2024-11-02,10:30:00,441.5,185,active
SH_193,MV_6001,TH_480,SC_307,2025-03-23,21:15:00,335.87,149,active
SH_194,MV_8367,TH_41,SC_234,2023-02-12,20:15:00,440.62,83,active
SH_196,MV_6523,TH_111,SC_547,2024-04-13,18:45:00,488.02,99,active
SH_197,MV_9611,TH_352,SC_732,2024-01-22,22:00:00,235.34,112,active
SH_198,MV_5086,TH_97,SC_880,2024-07-15,21:15:00,293.16,187,active
SH_200,MV_116,TH_1,SC_756,2024-06-17,22:15:00,156.83,52,active
SH_201,MV_9102,TH_14,SC_92,2023-06-06,11:30:00,339.02,74,active
SH_202,MV_9935,TH_242,SC_413,2024-05-28,16:30:00,313.68,173,active
SH_203,MV_8078,TH_447,SC_988,2024-02-24,12:30:00,412.61,75,active
SH_204,MV_4888,TH_495,SC_145,2024-07-31,14:45:00,487.97,139,active
SH_206,MV_638,TH_494,SC_431,2023-10-15,12:15:00,234.71,129,active
SH_207,MV_8230,TH_144,SC_105,2023-07-12,20:00:00,247.27,198,active
SH_208,MV_7114,TH_8,SC_115,2023-04-17,20:45:00,173.48,131,active
SH_209,MV_2657,TH_168,SC_714,2025-12-28,13:15:00,343.89,84,active
SH_210,MV_6382,TH_295,SC_821,2023-09-30,16:00:00,376.06,84,active
SH_211,MV_6036,TH_498,SC_265,2025-08-19,13:15:00,273.48,188,active
SH_212,MV_3146,TH_385,SC_303,2023-03-02,10:15:00,370.11,82,active
SH_213,MV_6881,TH_21,SC_227,2023-10-07,21:00:00,164.62,73,active
SH_215,MV_8275,TH_401,SC_151,2024-01-15,14:45:00,165.83,166,active
SH_216,MV_7576,TH_408,SC_744,2023-04-20,14:15:00,354.67,119,active
SH_217,MV_8761,TH_496,SC_807,2024-10-09,13:45:00,489.34,118,active
SH_218,MV_5864,TH_301,SC_621,2024-03-06,20:15:00,290.52,142,active
SH_219,MV_7888,TH_71,SC_860,2023-01-05,21:45:00,221.1,121,active
SH_220,MV_7316,TH_252,SC_710,2025-08-21,16:00:00,296.44,54,active
SH_221,MV_5158,TH_142,SC_44,2024-04-21,15:45:00,277.67,85,active
SH_222,MV_9613,TH_343,SC_509,2025-03-27,10:00:00,207.54,192,active
SH_223,MV_3691,TH_389,SC_54,2025-03-07,16:30:00,324.69,192,active
SH_224,MV_4485,TH_167,SC_18,2025-12-12,19:45:00,468.45,187,active
SH_225,MV_5511,TH_9,SC_615,2025-10-11,13:00:00,307.39,115,active
SH_227,MV_3134,TH_392,SC_163,2024-09-05,15:30:00,352.51,97,active
SH_228,MV_5401,TH_331,SC_674,2025-09-26,21:45:00,386.42,80,active
SH_229,MV_9537,TH_262,SC_998,2024-09-27,10:15:00,465.08,70,active
SH_230,MV_1648,TH_164,SC_922,2023-05-04,10:45:00,289.18,198,active
SH_231,MV_6807,TH_377,SC_389,2024-03-06,17:30:00,279.49,67,active
SH_232,MV_1136,TH_89,SC_742,2023-03-23,18:30:00,388.43,136,active
SH_234,MV_114,TH_134,SC_512,2023-07-07,21:45:00,479.31,190,active
SH_235,MV_7721,TH_85,SC_882,2024-03-10,20:15:00,386.94,74,active
SH_236,MV_6169,TH_89,SC_704,2025-04-21,21:45:00,336.66,166,active
SH_238,MV_1467,TH_42,SC_236,2025-01-23,13:30:00,466.42,191,active
SH_239,MV_4241,TH_245,SC_883,2024-08-30,13:00:00,239.33,65,active
SH_240,MV_3820,TH_195,SC_873,2023-05-01,17:15:00,417.61,115,active
SH_241,MV_311,TH_389,SC_880,2024-11-19,19:30:00,297.16,188,active
SH_242,MV_9253,TH_149,SC_88,2023-11-12,11:45:00,190.51,87,active
SH_243,MV_6469,TH_415,SC_688,2025-03-14,17:30:00,494.28,74,active
SH_244,MV_7888,TH_28,SC_502,2024-04-20,21:30:00,248.84,157,active
SH_245,MV_5092,TH_67,SC_105,2024-01-02,20:00:00,373.56,77,active
SH_246,MV_8808,TH_441,SC_175,2023-12-18,12:00:00,305.4,180,active
SH_247,MV_2828,TH_343,SC_261,2024-12-23,21:30:00,282.07,55,active
SH_248,MV_9894,TH_301,SC_174,2024-02-23,17:30:00,217.64,195,active
SH_249,MV_1837,TH_67,SC_884,2023-12-06,22:45:00,402.74,191,active
SH_250,MV_6927,TH_461,SC_205,2025-06-12,16:15:00,254.81,94,active
SH_251,MV_6289,TH_51,SC_271,2023-11-28,13:00:00,365.23,60,active
SH_252,MV_9060,TH_171,SC_845,2024-06-11,15:45:00,261.88,74,active
SH_253,MV_963,TH_104,SC_668,2024-11-07,19:00:00,238.19,96,active
SH_254,MV_9401,TH_164,SC_785,2023-02-10,16:45:00,352.21,97,active
SH_255,MV_6801,TH_283,SC_286,2025-02-12,16:00:00,170.72,195,active
SH_256,MV_45,TH_239,SC_206,2023-04-22,14:00:00,203.13,164,active
SH_257,MV_4249,TH_232,SC_410,2023-02-07,16:45:00,417.44,131,active
SH_258,MV_7720,TH_183,SC_956,2024-07-07,21:30:00,328.4,108,active
SH_259,MV_2532,TH_252,SC_869,2023-02-19,22:30:00,303.48,164,active
SH_260,MV_7691,TH_455,SC_526,2023-07-23,18:45:00,212.75,156,active
SH_261,MV_5059,TH_355,SC_74,2023-07-22,17:00:00,375.53,163,active
SH_262,MV_7368,TH_269,SC_14,2025-04-19,20:15:00,482.89,193,active
SH_263,MV_2598,TH_448,SC_861,2025-10-10,14:15:00,293.88,132,active
SH_264,MV_6348,TH_321,SC_707,2025-09-26,22:15:00,309.99,187,active
SH_266,MV_935,TH_284,SC_120,2023-01-08,21:30:00,274.0,172,active
SH_267,MV_8613,TH_173,SC_540,2023-07-28,12:15:00,439.12,78,active
SH_268,MV_4173,TH_66,SC_243,2025-10-15,15:15:00,218.7,154,active
SH_269,MV_9227,TH_186,SC_76,2025-06-20,10:15:00,283.2,143,active
SH_270,MV_5385,TH_241,SC_356,2025-09-28,11:45:00,399.1,168,active
SH_271,MV_7964,TH_79,SC_520,2024-10-17,22:30:00,330.91,135,active
SH_272,MV_1634,TH_264,SC_911,2025-08-07,18:15:00,424.6,88,active
SH_273,MV_9327,TH_250,SC_533,2023-03-19,11:30:00,490.03,96,active
SH_274,MV_960,TH_109,SC_200,2024-01-30,22:30:00,450.35,55,active
SH_277,MV_5519,TH_203,SC_230,2024-08-06,15:45:00,406.24,192,active
SH_278,MV_2025,TH_193,SC_873,2024-04-14,21:30:00,282.87,126,active
SH_279,MV_7,TH_259,SC_345,2024-12-29,16:45:00,374.3,196,active
SH_280,MV_5337,TH_207,SC_485,2023-12-03,16:30:00,193.77,74,active
SH_281,MV_2281,TH_199,SC_849,2025-11-10,22:45:00,391.05,73,active
SH_282,MV_1089,TH_305,SC_859,2025-02-15,11:30:00,453.17,145,active
SH_284,MV_9487,TH_15,SC_963,2024-10-25,19:45:00,346.51,104,active
SH_285,MV_4073,TH_319,SC_494,2024-12-07,18:45:00,217.28,76,active
SH_286,MV_4293,TH_424,SC_589,2024-07-07,11:15:00,452.13,156,active
SH_287,MV_95,TH_428,SC_903,2025-04-22,22:45:00,191.43,194,active
SH_289,MV_7013,TH_179,SC_483,2024-06-07,18:45:00,188.85,113,active
SH_291,MV_478,TH_238,SC_807,2024-12-20,11:45:00,351.61,79,active
SH_292,MV_7157,TH_214,SC_196,2023-05-12,12:45:00,344.29,95,active
SH_293,MV_3848,TH_431,SC_864,2025-08-15,16:15:00,159.4,117,active
SH_294,MV_7783,TH_248,SC_114,2025-02-11,22:15:00,253.56,181,active
SH_295,MV_5848,TH_110,SC_352,2025-06-01,12:45:00,353.8,78,active
SH_296,MV_4953,TH_404,SC_779,2024-01-10,21:45:00,352.04,195,active
SH_297,MV_2450,TH_97,SC_253,2025-01-21,20:00:00,304.37,91,active
SH_298,MV_9156,TH_417,SC_306,2024-06-09,22:45:00,471.25,105,active
SH_299,MV_6029,TH_190,SC_483,2025-09-14,15:30:00,362.23,195,active
SH_300,MV_7555,TH_68,SC_657,2025-05-30,14:45:00,218.3,128,active
SH_302,MV_6300,TH_249,SC_227,2024-09-01,18:15:00,380.82,145,active
SH_303,MV_910,TH_20,SC_442,2023-10-07,15:30:00,333.56,84,active
SH_304,MV_8970,TH_381,SC_336,2023-12-28,20:30:00,411.92,195,active
SH_307,MV_1317,TH_18,SC_671,2023-11-20,19:00:00,217.15,145,active
SH_308,MV_7945,TH_76,SC_98,2024-12-13,22:15:00,304.61,153,active
SH_309,MV_3965,TH_376,SC_211,2024-03-19,21:45:00,465.22,146,active
SH_310,MV_1280,TH_298,SC_142,2023-03-26,19:45:00,372.69,52,active
SH_311,MV_1758,TH_443,SC_49,2024-09-11,16:00:00,491.59,145,active
SH_312,MV_8359,TH_420,SC_53,2024-05-12,22:30:00,360.55,99,active
SH_313,MV_1671,TH_316,SC_277,2025-06-02,21:30:00,336.39,133,active
SH_314,MV_1108,TH_453,SC_247,2024-06-24,10:00:00,463.61,172,active
SH_315,MV_905,TH_174,SC_726,2023-11-25,17:00:00,338.02,152,active
SH_316,MV_174,TH_144,SC_949,2023-10-07,15:15:00,182.32,183,active
SH_317,MV_6687,TH_441,SC_941,2025-11-17,12:30:00,450.63,155,active
SH_319,MV_3801,TH_102,SC_143,2025-09-29,11:00:00,232.16,116,active
SH_320,MV_2243,TH_377,SC_176,2024-12-19,15:30:00,386.38,152,active
SH_322,MV_8619,TH_334,SC_510,2023-08-05,12:30:00,236.26,67,active
SH_323,MV_1242,TH_397,SC_342,2024-03-13,10:00:00,409.89,163,active
SH_324,MV_1765,TH_161,SC_558,2024-04-30,14:00:00,368.89,169,active
SH_325,MV_6216,TH_309,SC_112,2023-12-27,20:45:00,466.99,138,active
SH_327,MV_6969,TH_295,SC_42,2025-05-08,12:45:00,418.63,56,active
SH_328,MV_8854,TH_374,SC_57,2025-03-11,16:00:00,411.12,114,active
SH_330,MV_5812,TH_32,SC_351,2024-12-27,16:15:00,364.3,57,active
SH_332,MV_5666,TH_227,SC_651,2025-12-01,14:30:00,281.41,171,active
SH_333,MV_4351,TH_498,SC_836,2023-07-29,16:00:00,314.24,156,active
SH_334,MV_9935,TH_351,SC_542,2025-01-01,16:00:00,408.47,76,active
SH_335,MV_1502,TH_219,SC_599,2024-11-25,18:00:00,169.21,164,active
SH_336,MV_7068,TH_271,SC_444,2023-01-25,10:30:00,377.87,191,active
SH_337,MV_780,TH_94,SC_132,2023-06-16,16:30:00,435.2,190,active
SH_338,MV_207,TH_273,SC_206,2024-06-23,17:30:00,198.42,175,active
SH_340,MV_7184,TH_66,SC_920,2023-04-08,17:15:00,312.11,148,active
SH_341,MV_1845,TH_120,SC_726,2023-10-19,10:30:00,334.85,199,active
SH_342,MV_7487,TH_164,SC_7,2023-05-09,18:15:00,486.44,118,active
SH_343,MV_7532,TH_35,SC_943,2025-08-18,18:45:00,250.3,104,active
SH_344,MV_8447,TH_255,SC_309,2024-05-09,21:15:00,456.2,130,active
SH_345,MV_7649,TH_406,SC_301,2025-04-19,12:00:00,338.35,156,active
SH_346,MV_1406,TH_222,SC_309,2025-06-01,12:15:00,429.62,119,active
SH_347,MV_6940,TH_498,SC_341,2024-06-04,11:45:00,482.38,66,active
SH_348,MV_2793,TH_309,SC_829,2024-11-01,10:00:00,426.02,117,active
SH_349,MV_8144,TH_180,SC_719,2025-05-05,20:00:00,380.52,153,active
SH_350,MV_1334,TH_152,SC_569,2024-10-17,10:00:00,230.36,81,active
SH_351,MV_4302,TH_67,SC_279,2024-05-08,12:30:00,347.05,79,active
SH_353,MV_2982,TH_5,SC_197,2024-12-26,18:30:00,285.84,148,active
SH_354,MV_5791,TH_340,SC_765,2023-03-02,22:00:00,162.4,132,active
SH_355,MV_1603,TH_395,SC_688,2023-06-08,12:30:00,422.47,134,active
SH_356,MV_7300,TH_252,SC_996,2024-04-08,13:30:00,422.31,155,active
SH_357,MV_4508,TH_238,SC_570,2023-06-18,15:45:00,414.58,69,active
SH_358,MV_9487,TH_456,SC_806,2023-04-13,15:00:00,416.69,91,active
SH_359,MV_6460,TH_369,SC_637,2024-07-02,17:15:00,322.0,149,active
SH_360,MV_4188,TH_2,SC_523,2025-12-02,15:30:00,318.71,172,active
SH_361,MV_7722,TH_395,SC_242,2023-08-31,10:45:00,245.15,70,active
SH_362,MV_9189,TH_381,SC_941,2025-10-07,15:15:00,233.73,77,active
SH_363,MV_5127,TH_354,SC_880,2025-07-02,18:00:00,446.54,122,active
SH_364,MV_9646,TH_451,SC_454,2025-10-28,14:15:00,258.66,105,active
SH_365,MV_297,TH_480,SC_792,2023-10-31,17:00:00,363.44,196,active
SH_367,MV_3743,TH_448,SC_575,2023-06-19,22:00:00,438.8,181,active
SH_368,MV_7253,TH_302,SC_502,2025-04-02,22:45:00,212.77,110,active
