theater_id,brand_id,name,location,city,state
TH_55,BR_5,PVR Cinemas,Durgapur 50,Durgapur,West Bengal
TH_56,BR_4,Miraj Cinemas,Pune 61,Pune,Maharashtra
TH_57,BR_5,PVR Cinemas,Agra 61,Agra,Uttar Pradesh
TH_58,BR_1,Carnival Cinemas,Mysore 257,Mysore,Karnataka
TH_59,BR_1,Carnival Cinemas,Salem 68,Salem,Tamil Nadu
TH_60,BR_3,INOX,Kanpur 431,Kanpur,Uttar Pradesh
TH_61,BR_6,Wave Cinemas,Jalandhar 108,Jalandhar,Punjab
TH_62,BR_6,Wave Cinemas,Coimbatore 222,Coimbatore,Tamil Nadu
TH_63,BR_4,Miraj Cinemas,Chennai 337,Chennai,Tamil Nadu
TH_64,BR_4,Miraj Cinemas,Madurai 17,Madurai,Tamil Nadu
TH_65,BR_1,Carnival Cinemas,Hubli 418,Hubli,Karnataka
TH_66,BR_1,Carnival Cinemas,Tiruchirappalli 30,Tiruchirappalli,Tamil Nadu
TH_67,BR_4,Miraj Cinemas,Ludhiana 294,Ludhiana,Punjab
TH_68,BR_3,INOX,Salem 385,Salem,Tamil Nadu
TH_69,BR_5,PVR Cinemas,Vadodara 349,Vadodara,Gujarat
TH_70,BR_6,Wave Cinemas,Asansol 133,Asansol,West Bengal
TH_71,BR_2,Cinepolis,Bangalore 307,Bangalore,Karnataka
TH_72,BR_5,PVR Cinemas,Coimbatore 102,Coimbatore,Tamil Nadu
TH_73,BR_1,Carnival Cinemas,Kanpur 143,Kanpur,Uttar Pradesh
TH_74,BR_4,Miraj Cinemas,Chennai 370,Chennai,Tamil Nadu
TH_75,BR_2,Cinepolis,Ujjain 5,Ujjain,Madhya Pradesh
TH_76,BR_6,Wave Cinemas,Indore 304,Indore,Madhya Pradesh
TH_77,BR_5,PVR Cinemas,Mangalore 78,Mangalore,Karnataka
TH_78,BR_4,Miraj Cinemas,Patiala 13,Patiala,Punjab
TH_79,BR_5,PVR Cinemas,Agra 205,Agra,Uttar Pradesh
TH_80,BR_3,INOX,Pune 276,Pune,Maharashtra
TH_81,BR_3,INOX,Chennai 409,Chennai,Tamil Nadu
TH_82,BR_5,PVR Cinemas,Patna 69,Patna,Bihar
TH_83,BR_2,Cinepolis,Bhopal 212,Bhopal,Madhya Pradesh
TH_84,BR_2,Cinepolis,Madurai 306,Madurai,Tamil Nadu
TH_85,BR_3,INOX,Jabalpur 428,Jabalpur,Madhya Pradesh
TH_86,BR_2,Cinepolis,Bhagalpur 191,Bhagalpur,Bihar
TH_87,BR_6,Wave Cinemas,Bathinda 230,Bathinda,Punjab
TH_88,BR_3,INOX,Nashik 453,Nashik,Maharashtra
TH_89,BR_4,Miraj Cinemas,Jaipur 83,Jaipur,Rajasthan
TH_90,BR_3,INOX,Ujjain 451,Ujjain,Madhya Pradesh
TH_91,BR_4,Miraj Cinemas,Patna 334,Patna,Bihar
TH_92,BR_2,Cinepolis,Nagpur 390,Nagpur,Maharashtra
TH_93,BR_1,Carnival Cinemas,Mumbai 327,Mumbai,Maharashtra
TH_94,BR_5,PVR Cinemas,Mangalore 234,Mangalore,Karnataka
TH_95,BR_1,Carnival Cinemas,Lucknow 241,Lucknow,Uttar Pradesh
TH_96,BR_1,Carnival Cinemas,Mysore 10,Mysore,Karnataka
TH_97,BR_3,INOX,Kota 472,Kota,Rajasthan
TH_98,BR_6,Wave Cinemas,Nagpur 496,Nagpur,Maharashtra
TH_99,BR_6,Wave Cinemas,Rajkot 123,Rajkot,Gujarat
TH_100,BR_3,INOX,Kota 18,Kota,Rajasthan
TH_101,BR_6,Wave Cinemas,Bhavnagar 329,Bhavnagar,Gujarat
TH_102,BR_4,Miraj Cinemas,Bhagalpur 405,Bhagalpur,Bihar
TH_103,BR_3,INOX,Durgapur 373,Durgapur,West Bengal
TH_104,BR_1,Carnival Cinemas,Nashik 189,Nashik,Maharashtra
TH_105,BR_4,Miraj Cinemas,Amritsar 389,Amritsar,Punjab
TH_106,BR_1,Carnival Cinemas,Howrah 387,Howrah,West Bengal
TH_107,BR_6,Wave Cinemas,Bathinda 10,Bathinda,Punjab
TH_108,BR_6,Wave Cinemas,Varanasi 327,Varanasi,Uttar Pradesh
TH_109,BR_4,Miraj Cinemas,Hubli 311,Hubli,Karnataka
TH_110,BR_5,PVR Cinemas,Jaipur 397,Jaipur,Rajasthan
TH_111,BR_3,INOX,Gaya 319,Gaya,Bihar
TH_112,BR_6,Wave Cinemas,Purnia 141,Purnia,Bihar
TH_113,BR_1,Carnival Cinemas,Nagpur 498,Nagpur,Maharashtra
TH_114,BR_2,Cinepolis,Udaipur 319,Udaipur,Rajasthan
TH_115,BR_2,Cinepolis,Meerut 9,Meerut,Uttar Pradesh
TH_116,BR_4,Miraj Cinemas,Rajkot 113,Rajkot,Gujarat
TH_117,BR_4,Miraj Cinemas,Ujjain 84,Ujjain,Madhya Pradesh
TH_118,BR_6,Wave Cinemas,Varanasi 320,Varanasi,Uttar Pradesh
TH_119,BR_4,Miraj Cinemas,Amritsar 152,Amritsar,Punjab
TH_120,BR_1,Carnival Cinemas,Ajmer 163,Ajmer,Rajasthan
TH_121,BR_4,Miraj Cinemas,Varanasi 488,Varanasi,Uttar Pradesh
TH_122,BR_4,Miraj Cinemas,Pune 148,Pune,Maharashtra
TH_123,BR_3,INOX,Ujjain 219,Ujjain,Madhya Pradesh
TH_124,BR_4,Miraj Cinemas,Asansol 56,Asansol,West Bengal
TH_125,BR_2,Cinepolis,Ludhiana 28,Ludhiana,Punjab
TH_126,BR_3,INOX,Patiala 145,Patiala,Punjab
TH_127,BR_1,Carnival Cinemas,Mumbai 285,Mumbai,Maharashtra
TH_128,BR_5,PVR Cinemas,Surat 436,Surat,Gujarat
TH_129,BR_5,PVR Cinemas,Agra 35,Agra,Uttar Pradesh
TH_130,BR_4,Miraj Cinemas,Ujjain 17,Ujjain,Madhya Pradesh
TH_131,BR_4,Miraj Cinemas,Bhagalpur 52,Bhagalpur,Bihar
TH_132,BR_2,Cinepolis,Belgaum 135,Belgaum,Karnataka
TH_133,BR_2,Cinepolis,Howrah 498,Howrah,West Bengal
TH_134,BR_1,Carnival Cinemas,Ludhiana 133,Ludhiana,Punjab
TH_135,BR_5,PVR Cinemas,Kota 53,Kota,Rajasthan
TH_136,BR_2,Cinepolis,Ujjain 248,Ujjain,Madhya Pradesh
TH_137,BR_3,INOX,Udaipur 429,Udaipur,Rajasthan
TH_138,BR_4,Miraj Cinemas,Kolkata 153,Kolkata,West Bengal
TH_139,BR_6,Wave Cinemas,Ujjain 366,Ujjain,Madhya Pradesh
TH_140,BR_4,Miraj Cinemas,Patiala 389,Patiala,Punjab
TH_141,BR_1,Carnival Cinemas,Amritsar 161,Amritsar,Punjab
TH_142,BR_6,Wave Cinemas,Ajmer 210,Ajmer,Rajasthan
TH_143,BR_1,Carnival Cinemas,Indore 469,Indore,Madhya Pradesh
TH_144,BR_5,PVR Cinemas,Pune 485,Pune,Maharashtra
TH_145,BR_4,Miraj Cinemas,Madurai 339,Madurai,Tamil Nadu
TH_146,BR_4,Miraj Cinemas,Bangalore 422,Bangalore,Karnataka
TH_147,BR_1,Carnival Cinemas,Howrah 485,Howrah,West Bengal
TH_148,BR_6,Wave Cinemas,Belgaum 247,Belgaum,Karnataka
TH_149,BR_1,Carnival Cinemas,Tiruchirappalli 93,Tiruchirappalli,Tamil Nadu
TH_150,BR_3,INOX,Asansol 355,Asansol,West Bengal
TH_151,BR_4,Miraj Cinemas,Jabalpur 244,Jabalpur,Madhya Pradesh
TH_152,BR_1,Carnival Cinemas,Bhavnagar 294,Bhavnagar,Gujarat
TH_153,BR_1,Carnival Cinemas,Lucknow 496,Lucknow,Uttar Pradesh
TH_154,BR_3,INOX,Hubli 377,Hubli,Karnataka
TH_155,BR_1,Carnival Cinemas,Rajkot 69,Rajkot,Gujarat
TH_156,BR_1,Carnival Cinemas,Bangalore 146,Bangalore,Karnataka
TH_157,BR_3,INOX,Ludhiana 43,Ludhiana,Punjab
TH_158,BR_3,INOX,Pune 245,Pune,Maharashtra
TH_159,BR_4,Miraj Cinemas,Jabalpur 393,Jabalpur,Madhya Pradesh
TH_160,BR_6,Wave Cinemas,Kota 238,Kota,Rajasthan
TH_161,BR_1,Carnival Cinemas,Coimbatore 351,Coimbatore,Tamil Nadu
TH_162,BR_3,INOX,Nagpur 138,Nagpur,Maharashtra
TH_163,BR_5,PVR Cinemas,Meerut 84,Meerut,Uttar Pradesh
TH_164,BR_1,Carnival Cinemas,Surat 185,Surat,Gujarat
TH_165,BR_2,Cinepolis,Mysore 187,Mysore,Karnataka
TH_166,BR_5,PVR Cinemas,Madurai 408,Madurai,Tamil Nadu
TH_167,BR_5,PVR Cinemas,Mysore 63,Mysore,Karnataka
TH_168,BR_6,Wave Cinemas,Patiala 423,Patiala,Punjab
TH_169,BR_5,PVR Cinemas,Coimbatore 490,Coimbatore,Tamil Nadu
TH_170,BR_5,PVR Cinemas,Jodhpur 320,Jodhpur,Rajasthan
TH_171,BR_6,Wave Cinemas,Tiruchirappalli 100,Tiruchirappalli,Tamil Nadu
TH_172,BR_1,Carnival Cinemas,Amritsar 437,Amritsar,Punjab
TH_173,BR_1,Carnival Cinemas,Bhopal 188,Bhopal,Madhya Pradesh
TH_174,BR_4,Miraj Cinemas,Rajkot 269,Rajkot,Gujarat
TH_175,BR_6,Wave Cinemas,Coimbatore 453,Coimbatore,Tamil Nadu
TH_176,BR_2,Cinepolis,Bangalore 92,Bangalore,Karnataka
TH_177,BR_6,Wave Cinemas,Coimbatore 98,Coimbatore,Tamil Nadu
TH_178,BR_4,Miraj Cinemas,Jabalpur 382,Jabalpur,Madhya Pradesh
TH_179,BR_6,Wave Cinemas,Thane 409,Thane,Maharashtra
TH_180,BR_6,Wave Cinemas,Tiruchirappalli 73,Tiruchirappalli,Tamil Nadu
TH_181,BR_1,Carnival Cinemas,Pune 10,Pune,Maharashtra
TH_182,BR_3,INOX,Jalandhar 28,Jalandhar,Punjab
TH_183,BR_3,INOX,Siliguri 429,Siliguri,West Bengal
TH_184,BR_6,Wave Cinemas,Howrah 459,Howrah,West Bengal
TH_185,BR_3,INOX,Madurai 195,Madurai,Tamil Nadu
TH_186,BR_1,Carnival Cinemas,Nashik 92,Nashik,Maharashtra
TH_187,BR_5,PVR Cinemas,Kolkata 125,Kolkata,West Bengal
TH_188,BR_3,INOX,Bhagalpur 134,Bhagalpur,Bihar
TH_189,BR_3,INOX,Pune 397,Pune,Maharashtra
TH_190,BR_1,Carnival Cinemas,Ludhiana 219,Ludhiana,Punjab
TH_191,BR_3,INOX,Amritsar 426,Amritsar,Punjab
TH_192,BR_2,Cinepolis,Hubli 362,Hubli,Karnataka
TH_193,BR_6,Wave Cinemas,Jalandhar 149,Jalandhar,Punjab
TH_194,BR_3,INOX,Agra 162,Agra,Uttar Pradesh
TH_195,BR_4,Miraj Cinemas,Patna 194,Patna,Bihar
TH_196,BR_4,Miraj Cinemas,Jodhpur 339,Jodhpur,Rajasthan
TH_197,BR_6,Wave Cinemas,Chennai 239,Chennai,Tamil Nadu
TH_198,BR_4,Miraj Cinemas,Belgaum 94,Belgaum,Karnataka
TH_199,BR_4,Miraj Cinemas,Meerut 391,Meerut,Uttar Pradesh
TH_200,BR_6,Wave Cinemas,Belgaum 291,Belgaum,Karnataka
TH_201,BR_3,INOX,Amritsar 148,Amritsar,Punjab
TH_202,BR_2,Cinepolis,Durgapur 145,Durgapur,West Bengal
TH_203,BR_1,Carnival Cinemas,Siliguri 466,Siliguri,West Bengal
TH_204,BR_5,PVR Cinemas,Indore 80,Indore,Madhya Pradesh
TH_205,BR_4,Miraj Cinemas,Udaipur 408,Udaipur,Rajasthan
TH_206,BR_1,Carnival Cinemas,Kolkata 178,Kolkata,West Bengal
TH_207,BR_2,Cinepolis,Madurai 410,Madurai,Tamil Nadu
TH_208,BR_1,Carnival Cinemas,Madurai 214,Madurai,Tamil Nadu
TH_209,BR_6,Wave Cinemas,Bhavnagar 449,Bhavnagar,Gujarat
TH_210,BR_1,Carnival Cinemas,Siliguri 416,Siliguri,West Bengal
TH_211,BR_1,Carnival Cinemas,Ujjain 271,Ujjain,Madhya Pradesh
TH_212,BR_6,Wave Cinemas,Bhopal 492,Bhopal,Madhya Pradesh
TH_213,BR_2,Cinepolis,Ahmedabad 463,Ahmedabad,Gujarat
TH_214,BR_5,PVR Cinemas,Jabalpur 1,Jabalpur,Madhya Pradesh
TH_215,BR_3,INOX,Ludhiana 333,Ludhiana,Punjab
TH_216,BR_1,Carnival Cinemas,Gaya 292,Gaya,Bihar
TH_217,BR_2,Cinepolis,Surat 249,Surat,Gujarat
TH_218,BR_2,Cinepolis,Ahmedabad 82,Ahmedabad,Gujarat
TH_219,BR_5,PVR Cinemas,Asansol 77,Asansol,West Bengal
TH_220,BR_4,Miraj Cinemas,Pune 297,Pune,Maharashtra
TH_221,BR_2,Cinepolis,Asansol 456,Asansol,West Bengal
TH_222,BR_3,INOX,Mumbai 212,Mumbai,Maharashtra
TH_223,BR_4,Miraj Cinemas,Jalandhar 119,Jalandhar,Punjab
TH_224,BR_6,Wave Cinemas,Tiruchirappalli 415,Tiruchirappalli,Tamil Nadu
TH_225,BR_4,Miraj Cinemas,Mangalore 471,Mangalore,Karnataka
TH_226,BR_2,Cinepolis,Patiala 89,Patiala,Punjab
TH_227,BR_1,Carnival Cinemas,Siliguri 105,Siliguri,West Bengal
TH_228,BR_5,PVR Cinemas,Ujjain 301,Ujjain,Madhya Pradesh
TH_229,BR_2,Cinepolis,Kolkata 277,Kolkata,West Bengal
TH_230,BR_2,Cinepolis,Mangalore 382,Mangalore,Karnataka
TH_231,BR_6,Wave Cinemas,Lucknow 252,Lucknow,Uttar Pradesh
TH_232,BR_6,Wave Cinemas,Siliguri 44,Siliguri,West Bengal
TH_233,BR_6,Wave Cinemas,Madurai 254,Madurai,Tamil Nadu
TH_234,BR_6,Wave Cinemas,Durgapur 161,Durgapur,West Bengal
TH_235,BR_1,Carnival Cinemas,Amritsar 166,Amritsar,Punjab
TH_236,BR_2,Cinepolis,Ajmer 257,Ajmer,Rajasthan
TH_237,BR_5,PVR Cinemas,Salem 158,Salem,Tamil Nadu
TH_238,BR_2,Cinepolis,Gwalior 479,Gwalior,Madhya Pradesh
TH_239,BR_2,Cinepolis,Belgaum 490,Belgaum,Karnataka
TH_240,BR_4,Miraj Cinemas,Durgapur 412,Durgapur,West Bengal
TH_241,BR_1,Carnival Cinemas,Asansol 143,Asansol,West Bengal
TH_242,BR_4,Miraj Cinemas,Howrah 37,Howrah,West Bengal
TH_243,BR_5,PVR Cinemas,Coimbatore 75,Coimbatore,Tamil Nadu
TH_244,BR_3,INOX,Gwalior 433,Gwalior,Madhya Pradesh
TH_245,BR_5,PVR Cinemas,Tiruchirappalli 184,Tiruchirappalli,Tamil Nadu
TH_246,BR_5,PVR Cinemas,Muzaffarpur 285,Muzaffarpur,Bihar
TH_247,BR_3,INOX,Mumbai 162,Mumbai,Maharashtra
TH_248,BR_3,INOX,Kolkata 329,Kolkata,West Bengal
TH_249,BR_1,Carnival Cinemas,Bhopal 62,Bhopal,Madhya Pradesh
TH_250,BR_4,Miraj Cinemas,Muzaffarpur 155,Muzaffarpur,Bihar
TH_251,BR_6,Wave Cinemas,Amritsar 464,Amritsar,Punjab
TH_252,BR_2,Cinepolis,Kanpur 497,Kanpur,Uttar Pradesh
TH_253,BR_2,Cinepolis,Patiala 175,Patiala,Punjab
TH_254,BR_3,INOX,Ahmedabad 130,Ahmedabad,Gujarat
TH_255,BR_2,Cinepolis,Jabalpur 452,Jabalpur,Madhya Pradesh
TH_256,BR_5,PVR Cinemas,Madurai 449,Madurai,Tamil Nadu
TH_257,BR_3,INOX,Ludhiana 66,Ludhiana,Punjab
TH_258,BR_5,PVR Cinemas,Mangalore 171,Mangalore,Karnataka
TH_259,BR_2,Cinepolis,Indore 467,Indore,Madhya Pradesh
TH_260,BR_4,Miraj Cinemas,Bathinda 9,Bathinda,Punjab
TH_261,BR_6,Wave Cinemas,Varanasi 425,Varanasi,Uttar Pradesh
TH_262,BR_4,Miraj Cinemas,Patiala 449,Patiala,Punjab
TH_263,BR_2,Cinepolis,Asansol 420,Asansol,West Bengal
TH_264,BR_5,PVR Cinemas,Muzaffarpur 304,Muzaffarpur,Bihar
TH_265,BR_4,Miraj Cinemas,Ajmer 112,Ajmer,Rajasthan
TH_266,BR_5,PVR Cinemas,Mangalore 423,Mangalore,Karnataka
TH_267,BR_3,INOX,Udaipur 75,Udaipur,Rajasthan
TH_268,BR_6,Wave Cinemas,Amritsar 337,Amritsar,Punjab
TH_269,BR_2,Cinepolis,Kanpur 379,Kanpur,Uttar Pradesh
TH_270,BR_2,Cinepolis,Bhavnagar 477,Bhavnagar,Gujarat
TH_271,BR_6,Wave Cinemas,Kanpur 442,Kanpur,Uttar Pradesh
TH_272,BR_2,Cinepolis,Surat 17,Surat,Gujarat
TH_273,BR_5,PVR Cinemas,Agra 121,Agra,Uttar Pradesh
TH_274,BR_2,Cinepolis,Thane 156,Thane,Maharashtra
TH_275,BR_3,INOX,Amritsar 143,Amritsar,Punjab
TH_276,BR_4,Miraj Cinemas,Kota 236,Kota,Rajasthan
TH_277,BR_3,INOX,Pune 222,Pune,Maharashtra
TH_278,BR_3,INOX,Gwalior 235,Gwalior,Madhya Pradesh
TH_279,BR_3,INOX,Ujjain 375,Ujjain,Madhya Pradesh
TH_280,BR_2,Cinepolis,Howrah 218,Howrah,West Bengal
TH_281,BR_4,Miraj Cinemas,Gwalior 198,Gwalior,Madhya Pradesh
TH_282,BR_2,Cinepolis,Durgapur 225,Durgapur,West Bengal
TH_283,BR_5,PVR Cinemas,Durgapur 3,Durgapur,West Bengal
TH_284,BR_3,INOX,Jabalpur 497,Jabalpur,Madhya Pradesh
TH_285,BR_5,PVR Cinemas,Gwalior 147,Gwalior,Madhya Pradesh
TH_286,BR_3,INOX,Lucknow 476,Lucknow,Uttar Pradesh
TH_287,BR_6,Wave Cinemas,Amritsar 481,Amritsar,Punjab
TH_288,BR_2,Cinepolis,Durgapur 138,Durgapur,West Bengal
TH_289,BR_5,PVR Cinemas,Amritsar 451,Amritsar,Punjab
TH_290,BR_6,Wave Cinemas,Ahmedabad 443,Ahmedabad,Gujarat
TH_291,BR_1,Carnival Cinemas,Salem 129,Salem,Tamil Nadu
TH_292,BR_5,PVR Cinemas,Bangalore 420,Bangalore,Karnataka
TH_293,BR_3,INOX,Ahmedabad 229,Ahmedabad,Gujarat
TH_294,BR_3,INOX,Amritsar 236,Amritsar,Punjab
TH_295,BR_3,INOX,Ujjain 485,Ujjain,Madhya Pradesh
TH_296,BR_2,Cinepolis,Mangalore 339,Mangalore,Karnataka
TH_297,BR_4,Miraj Cinemas,Mysore 175,Mysore,Karnataka
TH_298,BR_5,PVR Cinemas,Coimbatore 44,Coimbatore,Tamil Nadu
TH_299,BR_5,PVR Cinemas,Pune 393,Pune,Maharashtra
TH_300,BR_4,Miraj Cinemas,Muzaffarpur 211,Muzaffarpur,Bihar
TH_301,BR_2,Cinepolis,Jaipur 40,Jaipur,Rajasthan
TH_302,BR_6,Wave Cinemas,Howrah 340,Howrah,West Bengal
TH_303,BR_3,INOX,Amritsar 288,Amritsar,Punjab
TH_304,BR_2,Cinepolis,Bathinda 62,Bathinda,Punjab
TH_305,BR_3,INOX,Hubli 15,Hubli,Karnataka
TH_306,BR_2,Cinepolis,Jabalpur 180,Jabalpur,Madhya Pradesh
TH_307,BR_2,Cinepolis,Muzaffarpur 498,Muzaffarpur,Bihar
TH_308,BR_3,INOX,Bhagalpur 429,Bhagalpur,Bihar
TH_309,BR_2,Cinepolis,Mumbai 424,Mumbai,Maharashtra
TH_310,BR_1,Carnival Cinemas,Jabalpur 174,Jabalpur,Madhya Pradesh
TH_311,BR_3,INOX,Lucknow 360,Lucknow,Uttar Pradesh
TH_312,BR_5,PVR Cinemas,Patna 10,Patna,Bihar
TH_313,BR_4,Miraj Cinemas,Kolkata 402,Kolkata,West Bengal
TH_314,BR_6,Wave Cinemas,Salem 131,Salem,Tamil Nadu
TH_315,BR_2,Cinepolis,Bangalore 431,Bangalore,Karnataka
TH_316,BR_5,PVR Cinemas,Ludhiana 291,Ludhiana,Punjab
TH_317,BR_5,PVR Cinemas,Gaya 28,Gaya,Bihar
TH_318,BR_3,INOX,Gaya 355,Gaya,Bihar
TH_319,BR_5,PVR Cinemas,Gwalior 197,Gwalior,Madhya Pradesh
TH_320,BR_4,Miraj Cinemas,Howrah 419,Howrah,West Bengal
TH_321,BR_5,PVR Cinemas,Patna 87,Patna,Bihar
TH_322,BR_3,INOX,Bhavnagar 423,Bhavnagar,Gujarat
TH_323,BR_6,Wave Cinemas,Tiruchirappalli 373,Tiruchirappalli,Tamil Nadu
TH_324,BR_1,Carnival Cinemas,Bangalore 452,Bangalore,Karnataka
TH_325,BR_5,PVR Cinemas,Purnia 431,Purnia,Bihar
TH_326,BR_2,Cinepolis,Nashik 172,Nashik,Maharashtra
TH_327,BR_6,Wave Cinemas,Mangalore 465,Mangalore,Karnataka
TH_328,BR_1,Carnival Cinemas,Nagpur 217,Nagpur,Maharashtra
TH_329,BR_1,Carnival Cinemas,Kota 315,Kota,Rajasthan
TH_330,BR_6,Wave Cinemas,Thane 41,Thane,Maharashtra
TH_331,BR_2,Cinepolis,Bhagalpur 173,Bhagalpur,Bihar
TH_332,BR_4,Miraj Cinemas,Chennai 297,Chennai,Tamil Nadu
TH_333,BR_2,Cinepolis,Gwalior 418,Gwalior,Madhya Pradesh
TH_334,BR_4,Miraj Cinemas,Mangalore 417,Mangalore,Karnataka
TH_335,BR_4,Miraj Cinemas,Hubli 91,Hubli,Karnataka
TH_336,BR_3,INOX,Jalandhar 460,Jalandhar,Punjab
TH_337,BR_1,Carnival Cinemas,Kolkata 106,Kolkata,West Bengal
TH_338,BR_4,Miraj Cinemas,Udaipur 247,Udaipur,Rajasthan
TH_339,BR_4,Miraj Cinemas,Surat 117,Surat,Gujarat
TH_340,BR_3,INOX,Mumbai 332,Mumbai,Maharashtra
TH_341,BR_3,INOX,Madurai 482,Madurai,Tamil Nadu
TH_342,BR_3,INOX,Pune 6,Pune,Maharashtra
TH_343,BR_6,Wave Cinemas,Chennai 286,Chennai,Tamil Nadu
TH_344,BR_5,PVR Cinemas,Mangalore 16,Mangalore,Karnataka
TH_345,BR_2,Cinepolis,Hubli 466,Hubli,Karnataka
TH_346,BR_6,Wave Cinemas,Patna 439,Patna,Bihar
TH_347,BR_1,Carnival Cinemas,Mumbai 351,Mumbai,Maharashtra
TH_348,BR_4,Miraj Cinemas,Muzaffarpur 244,Muzaffarpur,Bihar
TH_349,BR_6,Wave Cinemas,Udaipur 182,Udaipur,Rajasthan
TH_350,BR_1,Carnival Cinemas,Vadodara 7,Vadodara,Gujarat
TH_351,BR_6,Wave Cinemas,Mangalore 335,Mangalore,Karnataka
TH_352,BR_4,Miraj Cinemas,Chennai 115,Chennai,Tamil Nadu
TH_353,BR_2,Cinepolis,Ludhiana 139,Ludhiana,Punjab
TH_354,BR_6,Wave Cinemas,Surat 491,Surat,Gujarat
TH_355,BR_1,Carnival Cinemas,Nashik 283,Nashik,Maharashtra
TH_356,BR_5,PVR Cinemas,Bhagalpur 202,Bhagalpur,Bihar
TH_357,BR_1,Carnival Cinemas,Chennai 330,Chennai,Tamil Nadu
TH_358,BR_3,INOX,Mangalore 196,Mangalore,Karnataka
TH_359,BR_5,PVR Cinemas,Durgapur 234,Durgapur,West Bengal
