payment_id,booking_id,user_id,amount,payment_method,payment_date,status,transaction_ref
PMT_28,BK_28,US_5773,0.0,UPI,2025-10-01 06:54:55,failed,
PMT_29,BK_29,US_1688,291.17,Wallet,2025-05-04 21:36:35,completed,
PMT_30,BK_30,US_138,638.3100000000001,Net Banking,2025-02-23 07:19:42,completed,
PMT_31,BK_31,US_6341,0.0,Debit Card,2024-11-02 23:01:30,refunded,
PMT_32,BK_32,US_9990,588.04,Net Banking,2024-01-15 12:53:18,completed,
PMT_33,BK_33,US_1923,639.27,Net Banking,2025-09-19 18:58:11,completed,
PMT_34,BK_34,US_3871,1563.44,UPI,2024-01-13 11:15:49,completed,
PMT_35,BK_35,US_3611,376.8,Credit Card,2024-01-03 19:24:36,completed,
PMT_36,BK_36,US_8242,603.6899999999999,Debit Card,2024-06-15 16:46:58,completed,
PMT_37,BK_37,US_4057,310.65,Debit Card,2025-05-03 10:43:40,completed,
PMT_38,BK_38,US_1861,655.68,UPI,2024-04-09 08:11:06,completed,
PMT_39,BK_39,US_6755,564.99,UPI,2024-09-02 01:20:09,completed,
PMT_41,BK_41,US_5592,388.05,Net Banking,2024-01-27 06:10:10,completed,
PMT_44,BK_44,US_950,1168.1100000000001,Wallet,2024-09-17 00:37:29,completed,
PMT_45,BK_45,US_7217,669.98,Credit Card,2024-04-19 20:16:45,completed,
PMT_46,BK_46,US_6807,758.34,Debit Card,2024-11-04 03:35:48,completed,
PMT_47,BK_47,US_3114,950.76,Credit Card,2024-09-05 21:37:15,completed,
PMT_49,BK_49,US_462,638.08,Wallet,2025-09-07 17:01:13,completed,
PMT_52,BK_52,US_5891,745.0,Credit Card,2024-11-13 11:21:09,completed,
PMT_54,BK_54,US_7727,0.0,UPI,2024-11-02 00:00:46,refunded,
PMT_55,BK_55,US_3570,0.0,Credit Card,2024-02-01 05:02:38,failed,
PMT_56,BK_56,US_6170,650.44,Credit Card,2024-04-04 23:07:04,completed,
PMT_57,BK_57,US_6021,914.78,Net Banking,2025-04-07 19:40:11,completed,
PMT_59,BK_59,US_6551,1436.04,Net Banking,2025-10-22 02:54:43,completed,
PMT_60,BK_60,US_883,913.76,Debit Card,2025-09-21 14:56:13,completed,
PMT_61,BK_61,US_8894,1074.75,Net Banking,2025-12-09 02:26:06,completed,
PMT_62,BK_62,US_2663,498.21,Wallet,2025-10-28 09:36:28,completed,
PMT_63,BK_63,US_8180,224.85,Credit Card,2025-03-19 11:26:55,completed,
PMT_64,BK_64,US_6345,0.0,Wallet,2025-09-06 15:57:49,failed,
PMT_65,BK_65,US_97,276.05,Net Banking,2025-09-30 12:00:29,completed,
PMT_66,BK_66,US_8992,950.32,Debit Card,2024-04-30 06:21:04,completed,
PMT_67,BK_67,US_9830,1730.44,Credit Card,2024-11-09 03:13:56,completed,
PMT_68,BK_68,US_965,750.14,UPI,2024-07-13 05:32:10,completed,
PMT_69,BK_69,US_1397,0.0,Credit Card,2025-12-09 09:27:31,refunded,
PMT_70,BK_70,US_9456,709.6,Wallet,2024-08-10 22:58:18,completed,
PMT_71,BK_71,US_7126,0.0,UPI,2025-03-05 18:48:00,refunded,
PMT_72,BK_72,US_3394,327.25,Debit Card,2024-02-07 10:35:25,completed,
PMT_73,BK_73,US_3368,415.84,Wallet,2025-03-15 21:31:02,completed,
PMT_74,BK_74,US_5784,1189.0500000000002,Debit Card,2024-01-13 03:45:45,completed,
PMT_75,BK_75,US_487,491.79,Wallet,2024-03-02 19:42:36,completed,
PMT_77,BK_77,US_5133,717.84,Debit Card,2024-05-05 12:19:32,completed,
PMT_78,BK_78,US_5003,454.5,Net Banking,2024-11-12 11:54:19,completed,
PMT_79,BK_79,US_7869,0.0,Credit Card,2025-11-22 10:49:55,failed,
PMT_80,BK_80,US_279,0.0,Debit Card,2025-10-13 22:52:00,failed,
PMT_81,BK_81,US_8287,193.09,UPI,2024-08-24 09:28:32,completed,
PMT_82,BK_82,US_9512,1397.8,Debit Card,2025-05-02 13:32:56,completed,
PMT_83,BK_83,US_693,1790.32,Wallet,2025-02-08 04:56:55,completed,
PMT_84,BK_84,US_4554,300.17,Debit Card,2024-04-17 16:37:21,completed,
PMT_85,BK_85,US_7110,277.38,Wallet,2025-11-18 09:09:56,completed,
PMT_86,BK_86,US_6237,610.74,Net Banking,2025-05-13 04:01:25,completed,
PMT_87,BK_87,US_2338,0.0,UPI,2025-02-06 23:34:24,failed,
PMT_88,BK_88,US_2694,0.0,Wallet,2024-10-02 16:48:09,refunded,
PMT_89,BK_89,US_1452,1814.12,UPI,2025-05-07 12:22:54,completed,
PMT_90,BK_90,US_2992,461.79,Wallet,2024-09-25 23:17:39,completed,
PMT_91,BK_91,US_8220,0.0,Net Banking,2025-02-27 04:17:02,refunded,
PMT_92,BK_92,US_2863,151.48,Credit Card,2024-04-23 13:21:35,completed,
PMT_93,BK_93,US_6642,0.0,UPI,2025-08-13 20:48:02,failed,
PMT_94,BK_94,US_84,620.16,UPI,2025-02-24 22:48:29,completed,
PMT_95,BK_95,US_6447,1559.12,UPI,2025-03-09 12:09:29,completed,
PMT_96,BK_96,US_3943,483.41999999999996,Debit Card,2024-12-10 22:28:48,completed,
PMT_97,BK_97,US_7144,311.26,Net Banking,2025-01-17 03:18:34,completed,
PMT_98,BK_98,US_8140,1239.54,Wallet,2025-09-12 06:27:05,completed,
PMT_99,BK_99,US_3859,0.0,Credit Card,2024-03-21 02:16:05,failed,
PMT_100,BK_100,US_8701,431.46,Credit Card,2025-12-20 15:05:03,completed,
PMT_101,BK_101,US_7789,462.51,UPI,2024-09-15 21:10:12,completed,
PMT_103,BK_103,US_2121,986.4,Wallet,2024-11-01 07:14:55,completed,
PMT_104,BK_104,US_4851,774.68,UPI,2024-04-10 04:55:15,completed,
PMT_106,BK_106,US_6278,517.59,Net Banking,2024-01-15 14:01:50,completed,
PMT_107,BK_107,US_2937,472.52,Debit Card,2025-06-17 10:05:09,completed,
PMT_108,BK_108,US_3313,1905.72,Debit Card,2024-03-07 13:07:24,completed,
PMT_109,BK_109,US_3553,0.0,Wallet,2025-04-01 18:28:30,refunded,
PMT_110,BK_110,US_2302,226.51,Credit Card,2024-07-26 16:24:21,completed,
PMT_111,BK_111,US_4040,387.86,Debit Card,2025-01-11 05:14:25,completed,
PMT_112,BK_112,US_6184,847.36,Credit Card,2025-05-05 14:38:37,completed,
PMT_113,BK_113,US_7758,0.0,Net Banking,2025-01-29 01:23:02,failed,
PMT_114,BK_114,US_2880,294.74,UPI,2024-10-30 02:44:04,completed,
PMT_115,BK_115,US_5904,475.3,Wallet,2025-11-07 12:30:35,completed,
PMT_118,BK_118,US_7565,574.4,Net Banking,2024-10-07 23:22:48,completed,
PMT_119,BK_119,US_7766,852.0899999999999,Wallet,2025-01-16 04:23:51,completed,
PMT_120,BK_120,US_6637,1518.36,UPI,2025-11-06 07:55:51,completed,
PMT_121,BK_121,US_8503,358.08,Net Banking,2025-04-11 04:15:38,completed,
PMT_122,BK_122,US_7734,0.0,UPI,2024-04-23 19:39:42,refunded,
PMT_123,BK_123,US_882,0.0,Wallet,2024-06-12 02:45:29,failed,
PMT_126,BK_126,US_2720,925.88,Credit Card,2024-11-07 17:50:00,completed,
PMT_127,BK_127,US_5405,214.59,Credit Card,2024-06-18 19:58:48,completed,
PMT_129,BK_129,US_4863,1060.9499999999998,Debit Card,2025-08-21 18:56:37,completed,
PMT_130,BK_130,US_3079,297.47,Debit Card,2024-09-22 05:02:42,completed,
PMT_131,BK_131,US_3779,827.8199999999999,Wallet,2025-10-02 10:49:23,completed,
PMT_132,BK_132,US_7436,0.0,Wallet,2024-07-07 21:41:40,refunded,
PMT_133,BK_133,US_9398,1098.08,Credit Card,2025-10-20 02:28:40,completed,
PMT_137,BK_137,US_1769,0.0,Debit Card,2024-07-14 00:13:33,failed,
PMT_138,BK_138,US_7532,0.0,Credit Card,2024-12-10 21:40:28,failed,
PMT_139,BK_139,US_4950,0.0,Wallet,2025-08-11 23:58:41,refunded,
PMT_140,BK_140,US_2978,459.05,UPI,2025-12-18 06:11:53,completed,
PMT_141,BK_141,US_8241,676.52,Credit Card,2025-01-11 16:21:22,completed,
PMT_142,BK_142,US_6052,724.46,Net Banking,2025-07-19 15:18:06,completed,
PMT_143,BK_143,US_3252,0.0,UPI,2025-02-13 08:59:38,failed,
PMT_144,BK_144,US_3256,618.84,Net Banking,2025-05-24 14:43:40,completed,
PMT_146,BK_146,US_3599,870.4,Wallet,2024-12-09 12:14:22,completed,
PMT_147,BK_147,US_4850,1163.12,UPI,2025-08-23 23:53:55,completed,
PMT_148,BK_148,US_9605,1305.2,Wallet,2025-03-27 07:54:46,completed,
PMT_149,BK_149,US_9716,737.64,Debit Card,2024-02-09 14:26:08,completed,
PMT_150,BK_150,US_1161,470.04,Debit Card,2025-04-20 04:10:38,completed,
PMT_151,BK_151,US_8518,0.0,Debit Card,2024-04-20 05:20:19,failed,
PMT_152,BK_152,US_2825,1492.6,Net Banking,2024-09-04 21:14:46,completed,
PMT_153,BK_153,US_6214,307.86,Wallet,2024-10-25 16:43:15,completed,
PMT_154,BK_154,US_7386,709.98,Wallet,2024-04-12 03:15:16,completed,
PMT_157,BK_157,US_9640,367.55,Net Banking,2024-04-07 07:00:21,completed,
PMT_158,BK_158,US_1012,628.28,Debit Card,2024-10-24 21:14:10,completed,
PMT_159,BK_159,US_3874,0.0,UPI,2025-10-11 14:05:46,failed,
PMT_160,BK_160,US_6759,1912.44,Net Banking,2025-10-25 18:47:03,completed,
PMT_161,BK_161,US_4481,779.0,Credit Card,2025-04-01 15:26:33,completed,
PMT_162,BK_162,US_2664,924.84,UPI,2024-11-04 06:32:43,completed,
PMT_166,BK_166,US_3391,395.4,Credit Card,2025-10-29 00:12:58,completed,
PMT_167,BK_167,US_7287,991.86,Credit Card,2025-10-10 08:00:35,completed,
PMT_168,BK_168,US_9789,1950.84,Debit Card,2025-05-08 20:41:44,completed,
PMT_169,BK_169,US_9114,491.44,Net Banking,2024-01-22 00:10:59,completed,
PMT_170,BK_170,US_4114,488.88,Debit Card,2024-09-29 13:48:05,completed,
PMT_171,BK_171,US_3658,940.92,Credit Card,2025-07-11 06:16:23,completed,
PMT_172,BK_172,US_649,263.22,Wallet,2024-11-08 09:43:36,completed,
PMT_173,BK_173,US_4328,0.0,Wallet,2024-07-29 06:45:34,refunded,
PMT_174,BK_174,US_6475,729.42,UPI,2024-08-25 09:27:33,completed,
PMT_176,BK_176,US_1541,248.13,Wallet,2025-09-05 02:48:18,completed,
PMT_177,BK_177,US_2353,656.76,Wallet,2024-05-05 03:12:20,completed,
PMT_178,BK_178,US_674,665.52,Credit Card,2024-05-08 00:14:58,completed,
PMT_179,BK_179,US_8127,481.89,Net Banking,2024-02-16 00:28:12,completed,
PMT_180,BK_180,US_6563,665.28,Debit Card,2024-05-07 03:09:20,completed,
PMT_181,BK_181,US_6059,1565.92,UPI,2024-02-06 11:52:43,completed,
PMT_182,BK_182,US_2970,368.42,UPI,2024-09-09 17:46:42,completed,
PMT_183,BK_183,US_314,947.12,Net Banking,2025-01-15 18:51:21,completed,
PMT_184,BK_184,US_5073,776.08,Net Banking,2024-02-16 05:08:49,completed,
PMT_185,BK_185,US_3813,454.52,Wallet,2025-08-31 17:12:38,completed,
PMT_186,BK_186,US_3220,411.76,Wallet,2025-05-27 02:12:58,completed,
PMT_188,BK_188,US_3536,0.0,UPI,2024-09-12 17:41:07,refunded,
PMT_189,BK_189,US_5092,1325.43,Credit Card,2025-05-27 17:16:58,completed,
PMT_190,BK_190,US_3761,0.0,Wallet,2025-04-21 01:11:34,failed,
PMT_191,BK_191,US_2128,808.86,UPI,2025-10-28 00:18:46,completed,
PMT_192,BK_192,US_1898,1442.91,UPI,2025-11-06 01:46:42,completed,
PMT_193,BK_193,US_1113,1387.77,Net Banking,2024-11-09 09:16:01,completed,
PMT_194,BK_194,US_9983,0.0,UPI,2025-08-17 03:03:57,failed,
PMT_195,BK_195,US_3334,0.0,Credit Card,2025-09-01 20:22:15,failed,
PMT_196,BK_196,US_6548,0.0,UPI,2025-03-14 16:18:28,failed,
PMT_197,BK_197,US_4890,424.48,Debit Card,2024-09-30 17:28:52,completed,
PMT_199,BK_199,US_7868,0.0,Debit Card,2024-09-15 12:32:44,failed,
PMT_200,BK_200,US_7554,334.89,Wallet,2024-07-26 04:06:03,completed,
PMT_202,BK_202,US_8882,937.64,UPI,2024-10-12 15:24:23,completed,
PMT_203,BK_203,US_1566,669.7,Credit Card,2024-01-25 06:59:27,completed,
PMT_204,BK_204,US_4208,0.0,UPI,2025-08-14 00:08:16,failed,
PMT_205,BK_205,US_9924,266.5,Wallet,2024-05-23 04:20:54,completed,
PMT_206,BK_206,US_735,819.66,Wallet,2024-05-03 07:17:31,completed,
PMT_207,BK_207,US_962,0.0,Credit Card,2025-04-08 20:37:15,failed,
PMT_209,BK_209,US_2980,413.74,Credit Card,2025-06-01 13:33:17,completed,
PMT_213,BK_213,US_1800,1049.4,Credit Card,2024-10-02 18:06:07,completed,
PMT_214,BK_214,US_1161,516.02,Net Banking,2024-08-20 00:52:39,completed,
PMT_216,BK_216,US_9389,351.94,Debit Card,2024-10-24 19:33:22,completed,
PMT_217,BK_217,US_287,1062.88,Net Banking,2024-01-02 16:46:15,completed,
PMT_218,BK_218,US_8025,1975.72,UPI,2025-04-08 14:28:56,completed,
PMT_221,BK_221,US_5449,1567.68,Credit Card,2024-10-29 10:19:36,completed,
PMT_222,BK_222,US_505,0.0,Debit Card,2025-02-01 22:49:04,failed,
PMT_223,BK_223,US_3657,749.14,Net Banking,2025-09-26 10:16:47,completed,
PMT_224,BK_224,US_233,325.83,Debit Card,2024-08-31 05:10:49,completed,
PMT_225,BK_225,US_1862,0.0,Net Banking,2024-02-25 12:05:39,failed,
PMT_226,BK_226,US_196,1105.72,Debit Card,2024-07-29 09:27:59,completed,
PMT_227,BK_227,US_5210,1195.1999999999998,Debit Card,2024-03-17 10:58:52,completed,
PMT_229,BK_229,US_146,452.98,Debit Card,2025-02-25 13:37:25,completed,
PMT_230,BK_230,US_986,171.03,Net Banking,2024-02-02 01:15:51,completed,
PMT_231,BK_231,US_8763,0.0,UPI,2024-11-06 13:43:17,refunded,
PMT_232,BK_232,US_8143,200.7,Net Banking,2025-09-04 14:25:54,completed,
PMT_233,BK_233,US_9311,0.0,Debit Card,2024-02-03 05:23:41,failed,
PMT_234,BK_234,US_3273,189.83,Debit Card,2025-06-30 05:58:53,completed,
PMT_235,BK_235,US_160,255.7,Debit Card,2024-07-30 01:30:43,completed,
PMT_236,BK_236,US_3889,984.5,Debit Card,2024-04-02 18:08:38,completed,
PMT_237,BK_237,US_9000,910.0,Credit Card,2025-06-16 18:25:45,completed,
PMT_238,BK_238,US_7940,1953.88,Debit Card,2024-03-08 23:57:33,completed,
PMT_239,BK_239,US_7586,447.39,UPI,2025-08-19 18:48:59,completed,
PMT_240,BK_240,US_1979,582.64,Wallet,2025-09-25 05:56:10,completed,
PMT_241,BK_241,US_7350,1133.97,Net Banking,2024-09-02 04:15:27,completed,
PMT_242,BK_242,US_5486,561.3,UPI,2024-07-24 18:28:21,completed,
PMT_243,BK_243,US_2095,1068.04,Credit Card,2024-11-22 00:02:22,completed,
PMT_245,BK_245,US_8953,679.17,Credit Card,2024-02-03 13:51:20,completed,
PMT_246,BK_246,US_6282,954.86,UPI,2024-09-25 11:12:23,completed,
PMT_247,BK_247,US_301,1343.97,UPI,2025-02-21 20:33:10,completed,
PMT_248,BK_248,US_4178,675.1800000000001,Wallet,2024-05-01 03:20:03,completed,
PMT_249,BK_249,US_1590,1130.0,Wallet,2024-10-27 19:03:02,completed,
PMT_250,BK_250,US_3937,1224.75,Wallet,2024-11-26 14:50:35,completed,
PMT_252,BK_252,US_9333,274.09,UPI,2024-03-03 22:34:17,completed,
PMT_253,BK_253,US_4526,0.0,Wallet,2024-01-23 04:08:12,refunded,
PMT_255,BK_255,US_8889,367.39,Net Banking,2025-06-06 09:07:00,completed,
PMT_256,BK_256,US_2938,682.7,Credit Card,2025-08-16 18:42:46,completed,
PMT_257,BK_257,US_6195,1313.6,Wallet,2025-09-21 16:24:45,completed,
PMT_258,BK_258,US_3061,1452.27,Net Banking,2025-01-13 19:39:32,completed,
PMT_259,BK_259,US_2284,785.94,Debit Card,2025-06-27 03:28:12,completed,
PMT_260,BK_260,US_1357,0.0,Debit Card,2025-01-07 23:18:04,refunded,
PMT_261,BK_261,US_6212,1320.28,Wallet,2025-01-30 15:31:34,completed,
PMT_262,BK_262,US_9088,713.86,Net Banking,2024-02-13 13:38:47,completed,
PMT_263,BK_263,US_3706,845.16,Wallet,2025-09-13 18:15:50,completed,
PMT_264,BK_264,US_9634,763.3499999999999,Net Banking,2025-07-01 01:12:34,completed,
PMT_265,BK_265,US_2582,312.56,Net Banking,2024-02-18 05:11:37,completed,
PMT_266,BK_266,US_190,321.89,UPI,2024-10-08 18:27:04,completed,
PMT_267,BK_267,US_1423,418.56,Net Banking,2024-08-18 18:22:57,completed,
PMT_269,BK_269,US_7567,0.0,UPI,2025-04-18 03:51:41,refunded,
PMT_270,BK_270,US_5823,0.0,Credit Card,2025-01-01 20:18:09,refunded,
PMT_271,BK_271,US_2219,617.1,Credit Card,2024-07-16 13:13:05,completed,
PMT_272,BK_272,US_204,493.14,Debit Card,2024-12-14 17:26:46,completed,
PMT_273,BK_273,US_2414,456.35,Wallet,2025-06-23 02:09:28,completed,
PMT_274,BK_274,US_3662,1882.16,UPI,2024-12-15 12:52:57,completed,
PMT_275,BK_275,US_5959,1327.56,Wallet,2024-03-28 14:36:11,completed,
PMT_276,BK_276,US_9401,685.78,UPI,2024-11-21 22:25:44,completed,
PMT_277,BK_277,US_5424,586.02,Net Banking,2025-01-16 09:07:42,completed,
PMT_278,BK_278,US_5766,852.8,Credit Card,2024-06-25 10:35:35,completed,
PMT_279,BK_279,US_2150,373.22,Wallet,2024-08-28 04:29:27,completed,
PMT_281,BK_281,US_2800,389.76,Debit Card,2025-10-28 12:31:06,completed,
PMT_284,BK_284,US_3364,1315.17,Wallet,2024-12-29 16:32:34,completed,
PMT_285,BK_285,US_2310,626.16,Credit Card,2024-07-31 21:51:46,completed,
PMT_286,BK_286,US_7841,807.4499999999999,UPI,2024-06-29 12:33:04,completed,
PMT_287,BK_287,US_2624,361.94,Wallet,2025-11-15 01:13:28,completed,
PMT_288,BK_288,US_3585,175.79,Net Banking,2025-06-03 11:27:35,completed,
PMT_290,BK_290,US_3031,1030.41,Debit Card,2024-07-06 12:12:32,completed,
PMT_291,BK_291,US_7244,0.0,Net Banking,2024-04-25 10:21:17,failed,
PMT_293,BK_293,US_2278,1003.29,Wallet,2025-04-04 23:11:02,completed,
PMT_294,BK_294,US_2139,998.72,Net Banking,2025-03-29 18:31:06,completed,
PMT_296,BK_296,US_350,200.65,UPI,2025-01-07 07:21:44,completed,
PMT_298,BK_298,US_9220,163.73,Credit Card,2025-07-02 19:48:51,completed,
PMT_301,BK_301,US_435,1396.98,Credit Card,2025-01-10 16:32:46,completed,
PMT_302,BK_302,US_8917,1450.71,Wallet,2025-03-16 09:59:51,completed,
PMT_306,BK_306,US_9278,1055.0,Net Banking,2024-02-29 13:42:41,completed,
PMT_307,BK_307,US_5585,1682.24,Credit Card,2025-04-01 18:41:36,completed,
PMT_308,BK_308,US_2403,1631.0,UPI,2024-12-07 21:01:40,completed,
PMT_309,BK_309,US_6876,0.0,Wallet,2025-03-09 20:43:48,failed,
PMT_310,BK_310,US_9677,888.88,Debit Card,2025-03-07 14:04:16,completed,
PMT_311,BK_311,US_9994,277.55,UPI,2025-07-29 07:49:37,completed,
PMT_312,BK_312,US_8564,778.86,Wallet,2024-11-08 15:07:13,completed,
PMT_313,BK_313,US_107,367.71,Wallet,2024-09-09 08:45:02,completed,
PMT_314,BK_314,US_5638,0.0,UPI,2025-11-30 02:42:07,refunded,
PMT_315,BK_315,US_8932,272.03,Credit Card,2024-08-08 13:20:16,completed,
PMT_316,BK_316,US_4761,705.32,Credit Card,2025-11-17 06:55:46,completed,
PMT_317,BK_317,US_5856,0.0,Debit Card,2024-08-23 19:03:29,refunded,
PMT_318,BK_318,US_1458,417.44,Wallet,2024-01-05 11:21:30,completed,
PMT_319,BK_319,US_1785,1320.04,Credit Card,2024-10-28 06:41:08,completed,
PMT_320,BK_320,US_2881,177.5,Net Banking,2025-06-05 16:25:02,completed,
PMT_321,BK_321,US_1637,454.09,Net Banking,2024-12-30 14:51:48,completed,
PMT_322,BK_322,US_807,477.48,Wallet,2025-12-25 21:21:59,completed,
PMT_323,BK_323,US_7454,943.02,Net Banking,2025-04-10 04:20:14,completed,
PMT_324,BK_324,US_4772,1794.24,Debit Card,2025-04-19 00:31:12,completed,
PMT_325,BK_325,US_1724,508.16999999999996,Credit Card,2025-05-11 07:32:29,completed,
PMT_326,BK_326,US_5523,998.64,Credit Card,2025-09-28 12:57:51,completed,
PMT_327,BK_327,US_8911,1297.08,Wallet,2024-05-30 17:22:52,completed,
PMT_328,BK_328,US_1137,911.24,UPI,2025-11-08 17:07:06,completed,
PMT_329,BK_329,US_5321,194.99,UPI,2025-11-15 23:56:06,completed,
PMT_330,BK_330,US_7494,629.9399999999999,Wallet,2024-11-05 07:06:00,completed,
PMT_331,BK_331,US_3269,355.76,Credit Card,2024-01-19 07:13:35,completed,
PMT_332,BK_332,US_6645,943.36,Net Banking,2025-12-02 17:09:41,completed,
PMT_333,BK_333,US_8898,773.72,Wallet,2024-10-28 03:57:41,completed,
PMT_334,BK_334,US_6552,1951.32,Debit Card,2025-01-05 05:14:52,completed,
PMT_335,BK_335,US_2832,1328.44,Net Banking,2025-07-19 09:30:13,completed,
PMT_336,BK_336,US_7702,374.57,Credit Card,2024-11-30 03:24:20,completed,
PMT_337,BK_337,US_1620,857.8199999999999,UPI,2025-05-23 17:41:22,completed,
PMT_338,BK_338,US_5361,0.0,Debit Card,2025-09-29 04:18:16,refunded,
PMT_339,BK_339,US_7652,902.97,Debit Card,2025-12-12 06:41:22,completed,
PMT_340,BK_340,US_2036,474.26,UPI,2025-01-04 00:03:55,completed,
PMT_342,BK_342,US_4425,471.71,Net Banking,2024-08-12 00:34:24,completed,
PMT_343,BK_343,US_712,922.02,Net Banking,2024-12-04 03:36:31,completed,
PMT_344,BK_344,US_4713,1612.48,Credit Card,2025-02-18 08:08:54,completed,
PMT_345,BK_345,US_6388,1419.1200000000001,Wallet,2025-03-01 11:10:32,completed,
PMT_346,BK_346,US_9692,758.6,Debit Card,2024-03-21 02:11:30,completed,
PMT_349,BK_349,US_8992,166.05,Wallet,2024-03-12 04:17:06,completed,
PMT_350,BK_350,US_8088,1481.52,Credit Card,2025-09-24 07:20:13,completed,
PMT_351,BK_351,US_2548,1835.52,UPI,2025-04-26 04:29:08,completed,
PMT_352,BK_352,US_2162,847.72,Credit Card,2025-05-06 18:15:21,completed,
PMT_353,BK_353,US_2583,319.08,Debit Card,2024-02-20 20:17:26,completed,
PMT_354,BK_354,US_1777,526.1,UPI,2025-06-06 01:57:34,completed,
PMT_356,BK_356,US_1612,600.6899999999999,Net Banking,2024-10-31 14:58:30,completed,
PMT_357,BK_357,US_943,910.6800000000001,Net Banking,2025-02-13 01:56:13,completed,
PMT_358,BK_358,US_8598,173.36,Debit Card,2024-03-17 23:09:46,completed,
PMT_359,BK_359,US_4562,0.0,Credit Card,2024-11-03 03:38:35,refunded,
PMT_360,BK_360,US_41,628.64,Wallet,2025-10-15 19:23:42,completed,
PMT_361,BK_361,US_4852,807.12,Net Banking,2024-11-22 00:04:51,completed,
PMT_362,BK_362,US_8432,558.76,Debit Card,2025-01-29 20:31:36,completed,
PMT_363,BK_363,US_5334,476.47,Wallet,2025-11-02 10:14:48,completed,
PMT_365,BK_365,US_2711,868.46,Wallet,2025-07-05 00:28:56,completed,
PMT_366,BK_366,US_6314,712.8,UPI,2024-06-02 04:17:36,completed,
PMT_367,BK_367,US_3455,0.0,Debit Card,2024-07-28 21:32:35,failed,
PMT_369,BK_369,US_3410,1482.9,Wallet,2024-03-12 09:23:55,completed,
PMT_370,BK_370,US_9600,720.92,Credit Card,2025-12-25 13:17:20,completed,
PMT_371,BK_371,US_4081,0.0,UPI,2025-04-08 14:46:34,refunded,
PMT_373,BK_373,US_3442,337.86,UPI,2025-05-25 06:27:13,completed,
PMT_374,BK_374,US_4056,662.28,Net Banking,2024-11-20 16:19:30,completed,
PMT_376,BK_376,US_5786,1307.94,UPI,2025-07-21 04:13:07,completed,
PMT_378,BK_378,US_9271,604.98,Debit Card,2024-10-20 09:05:32,completed,
PMT_379,BK_379,US_784,871.86,UPI,2025-10-07 03:25:50,completed,
PMT_380,BK_380,US_517,0.0,Wallet,2025-03-04 15:13:45,failed,
PMT_381,BK_381,US_9660,1784.16,UPI,2025-09-28 11:08:50,completed,
PMT_382,BK_382,US_5900,339.79,Net Banking,2025-03-07 13:23:46,completed,
PMT_383,BK_383,US_1632,920.2,UPI,2024-01-17 01:25:07,completed,
PMT_384,BK_384,US_8627,1738.64,Net Banking,2024-12-14 20:30:29,completed,
PMT_385,BK_385,US_6275,1269.96,Net Banking,2024-04-21 00:18:54,completed,
PMT_386,BK_386,US_4858,621.64,UPI,2025-07-14 02:26:47,completed,
PMT_387,BK_387,US_1169,1441.84,Debit Card,2025-06-19 13:44:42,completed,
PMT_388,BK_388,US_4101,396.51,Debit Card,2024-07-08 08:18:51,completed,
PMT_389,BK_389,US_9858,1115.1299999999999,Credit Card,2025-08-18 15:35:30,completed,
