screen_id,theater_id,screen_number,total_seats
SC_115,TH_421,3,127
SC_116,TH_355,9,183
SC_117,TH_54,8,290
SC_118,TH_317,1,244
SC_120,TH_391,10,237
SC_121,TH_114,10,120
SC_122,TH_332,9,252
SC_123,TH_148,8,207
SC_124,TH_72,3,199
SC_125,TH_344,7,164
SC_126,TH_58,1,174
SC_127,TH_302,2,128
SC_128,TH_361,9,167
SC_129,TH_243,4,300
SC_130,TH_365,3,129
SC_131,TH_84,7,208
SC_132,TH_84,1,121
SC_133,TH_239,3,115
SC_134,TH_272,6,133
SC_135,TH_185,8,185
SC_136,TH_341,1,133
SC_137,TH_431,7,175
SC_138,TH_339,1,232
SC_139,TH_150,3,255
SC_140,TH_146,8,249
SC_141,TH_476,5,153
SC_142,TH_43,5,107
SC_143,TH_15,5,227
SC_144,TH_42,8,189
SC_145,TH_168,3,197
SC_146,TH_473,9,223
SC_147,TH_139,8,128
SC_148,TH_472,8,134
SC_149,TH_43,3,182
SC_150,TH_201,2,289
SC_151,TH_49,4,204
SC_152,TH_432,7,273
SC_153,TH_457,9,173
SC_154,TH_387,8,280
SC_155,TH_254,8,272
SC_156,TH_358,10,160
SC_157,TH_226,8,268
SC_158,TH_276,7,230
SC_159,TH_33,8,239
SC_160,TH_456,4,279
SC_161,TH_488,8,198
SC_162,TH_39,10,210
SC_163,TH_162,2,109
SC_165,TH_129,9,186
SC_166,TH_156,7,275
SC_167,TH_309,1,221
SC_168,TH_20,5,158
SC_169,TH_426,2,118
SC_170,TH_326,1,172
SC_171,TH_133,5,141
SC_172,TH_491,8,194
SC_173,TH_328,9,131
SC_174,TH_158,10,289
SC_175,TH_92,10,101
SC_176,TH_154,2,108
SC_177,TH_97,8,145
SC_178,TH_413,9,262
SC_179,TH_474,8,147
SC_180,TH_48,2,291
SC_181,TH_391,7,144
SC_182,TH_169,4,172
SC_183,TH_326,4,219
SC_184,TH_256,4,173
SC_186,TH_355,8,262
SC_187,TH_409,9,196
SC_188,TH_240,5,188
SC_190,TH_159,8,206
SC_191,TH_437,7,128
SC_192,TH_45,9,173
SC_193,TH_186,2,196
SC_194,TH_232,5,186
SC_195,TH_296,7,258
SC_196,TH_281,10,232
SC_197,TH_366,2,142
SC_198,TH_490,5,271
SC_199,TH_337,2,111
SC_200,TH_97,6,228
SC_201,TH_378,9,105
SC_202,TH_94,5,223
SC_203,TH_96,7,119
SC_204,TH_339,3,127
SC_205,TH_328,7,250
SC_206,TH_419,7,193
SC_207,TH_278,2,294
SC_208,TH_113,10,299
SC_209,TH_159,3,174
SC_210,TH_254,1,273
SC_211,TH_307,6,271
SC_212,TH_115,6,217
SC_213,TH_468,8,258
SC_214,TH_386,4,185
SC_215,TH_167,3,135
SC_216,TH_28,10,181
SC_217,TH_51,10,228
SC_218,TH_483,10,104
SC_219,TH_419,4,167
SC_220,TH_305,1,230
SC_221,TH_125,3,116
SC_222,TH_87,3,152
SC_223,TH_180,1,255
SC_224,TH_166,9,246
SC_226,TH_460,9,225
SC_227,TH_82,3,263
SC_228,TH_498,6,126
SC_229,TH_484,8,235
SC_230,TH_426,6,143
SC_231,TH_300,2,281
SC_232,TH_497,9,117
SC_233,TH_76,7,185
SC_234,TH_197,6,132
SC_235,TH_182,9,206
SC_236,TH_68,3,125
SC_237,TH_268,7,283
SC_238,TH_85,8,279
SC_239,TH_82,10,300
SC_240,TH_12,7,178
SC_241,TH_163,3,279
SC_242,TH_357,6,141
SC_243,TH_411,10,296
SC_244,TH_256,8,193
SC_245,TH_178,7,198
SC_246,TH_478,1,127
SC_247,TH_158,1,219
SC_248,TH_99,2,188
SC_249,TH_144,2,235
SC_250,TH_195,5,144
SC_251,TH_337,5,265
SC_252,TH_316,3,259
SC_253,TH_108,8,100
SC_255,TH_85,1,134
SC_256,TH_414,4,108
SC_257,TH_68,6,236
SC_258,TH_430,9,243
SC_259,TH_104,5,152
SC_260,TH_194,1,207
SC_261,TH_408,6,275
SC_262,TH_187,6,243
SC_263,TH_201,10,114
SC_264,TH_479,6,228
SC_265,TH_416,3,234
SC_267,TH_414,3,102
SC_268,TH_397,4,202
SC_269,TH_406,4,122
SC_270,TH_211,9,211
SC_271,TH_69,10,230
SC_272,TH_401,10,252
SC_273,TH_466,6,156
SC_274,TH_35,7,300
SC_275,TH_26,3,215
SC_276,TH_329,6,267
SC_277,TH_442,8,255
SC_278,TH_125,8,235
SC_279,TH_90,9,133
SC_280,TH_386,3,122
SC_281,TH_51,3,250
SC_282,TH_277,8,186
SC_283,TH_137,2,143
SC_284,TH_432,2,220
SC_285,TH_443,6,113
SC_286,TH_159,5,151
SC_287,TH_11,8,173
SC_288,TH_368,1,183
SC_289,TH_133,4,232
SC_290,TH_24,9,125
SC_291,TH_168,1,151
SC_292,TH_473,7,287
SC_293,TH_137,5,134
SC_294,TH_31,4,172
SC_295,TH_125,5,177
SC_296,TH_455,4,135
SC_297,TH_24,10,217
SC_298,TH_497,5,216
SC_299,TH_86,2,165
SC_300,TH_433,5,122
SC_301,TH_428,1,110
SC_302,TH_451,10,245
SC_303,TH_84,9,230
SC_304,TH_3,3,263
SC_305,TH_445,3,256
SC_306,TH_197,4,239
SC_307,TH_359,7,112
SC_308,TH_331,5,102
SC_309,TH_438,7,132
SC_311,TH_350,6,235
SC_312,TH_207,3,197
SC_313,TH_126,5,135
SC_314,TH_117,3,272
SC_315,TH_490,6,109
SC_316,TH_418,5,191
SC_317,TH_366,1,117
SC_318,TH_126,2,266
SC_319,TH_5,9,273
SC_320,TH_55,7,268
SC_321,TH_476,1,116
SC_322,TH_79,8,237
SC_323,TH_167,5,283
SC_324,TH_385,5,102
SC_325,TH_138,5,128
SC_326,TH_448,3,249
SC_327,TH_189,1,178
SC_328,TH_213,8,213
SC_329,TH_35,10,266
SC_330,TH_243,10,219
SC_331,TH_304,7,162
SC_332,TH_60,8,119
SC_333,TH_318,1,234
SC_334,TH_288,4,270
SC_335,TH_467,6,112
SC_336,TH_308,10,101
SC_337,TH_396,4,133
SC_339,TH_373,1,199
SC_340,TH_268,8,254
SC_341,TH_395,8,264
SC_342,TH_146,10,209
SC_343,TH_107,7,263
SC_344,TH_152,9,276
SC_345,TH_122,4,250
SC_346,TH_111,7,219
SC_347,TH_96,3,175
SC_348,TH_322,9,232
SC_349,TH_157,9,268
SC_350,TH_375,8,251
SC_351,TH_283,9,268
SC_352,TH_279,2,270
SC_353,TH_233,8,185
SC_354,TH_79,1,253
SC_355,TH_117,7,189
SC_356,TH_291,2,150
SC_357,TH_109,5,114
SC_358,TH_332,10,204
SC_359,TH_412,2,222
SC_360,TH_240,4,238
SC_361,TH_329,4,276
SC_362,TH_21,4,214
SC_363,TH_215,5,101
SC_364,TH_437,4,196
SC_365,TH_76,4,289
SC_366,TH_285,5,295
SC_367,TH_22,9,223
SC_368,TH_162,7,278
SC_369,TH_363,10,148
SC_370,TH_221,1,227
SC_371,TH_297,5,168
SC_372,TH_294,4,145
SC_373,TH_227,1,292
SC_374,TH_108,2,236
SC_375,TH_276,2,263
SC_376,TH_321,10,190
SC_377,TH_415,10,206
SC_378,TH_376,8,253
SC_379,TH_266,7,191
SC_381,TH_1,5,168
SC_382,TH_416,8,262
SC_383,TH_307,9,203
SC_384,TH_101,10,173
SC_385,TH_287,8,256
SC_386,TH_391,4,256
SC_387,TH_55,3,214
SC_389,TH_269,6,262
SC_390,TH_241,1,229
SC_391,TH_311,1,256
SC_392,TH_245,5,253
SC_393,TH_231,6,247
SC_394,TH_286,8,188
SC_395,TH_17,4,106
SC_396,TH_108,4,169
SC_397,TH_222,10,190
SC_398,TH_482,4,274
SC_399,TH_57,4,263
SC_400,TH_102,3,103
SC_401,TH_95,5,135
SC_402,TH_323,1,212
SC_403,TH_298,8,215
SC_404,TH_298,5,278
SC_405,TH_417,5,196
SC_406,TH_107,5,284
SC_407,TH_424,3,141
SC_408,TH_36,4,193
SC_409,TH_240,3,111
SC_410,TH_288,6,195
SC_411,TH_437,5,200
SC_412,TH_322,6,140
SC_413,TH_17,8,206
SC_414,TH_176,10,108
SC_415,TH_324,7,210
SC_416,TH_451,1,189
SC_417,TH_92,2,235
SC_419,TH_308,2,140
SC_421,TH_27,10,280
SC_422,TH_345,9,118
SC_423,TH_497,3,238
SC_424,TH_270,5,270
SC_426,TH_7,2,179
SC_427,TH_287,1,127
SC_428,TH_235,3,269
SC_429,TH_381,8,272
SC_430,TH_363,8,115
SC_431,TH_173,5,207
SC_433,TH_225,5,268
SC_435,TH_124,2,190
SC_436,TH_216,5,167
SC_437,TH_178,2,264
SC_440,TH_56,7,239
SC_441,TH_407,1,256
SC_442,TH_476,3,103
SC_443,TH_284,5,128
SC_444,TH_47,2,298
SC_445,TH_71,4,143
SC_446,TH_169,1,281
SC_447,TH_8,2,286
SC_448,TH_256,6,244
SC_450,TH_54,7,207
SC_451,TH_143,4,168
SC_453,TH_462,10,250
SC_454,TH_301,1,199
SC_455,TH_498,3,208
SC_456,TH_215,1,273
SC_457,TH_19,5,204
SC_458,TH_108,6,216
SC_460,TH_494,10,263
SC_461,TH_325,9,131
SC_462,TH_336,7,206
SC_463,TH_488,2,168
SC_464,TH_163,4,225
SC_465,TH_498,7,268
SC_466,TH_122,2,154
SC_467,TH_347,6,181
SC_468,TH_7,8,173
SC_469,TH_498,9,167
SC_470,TH_364,4,249
SC_471,TH_358,8,213
SC_472,TH_265,3,195
SC_473,TH_53,2,267
SC_474,TH_168,8,285
SC_475,TH_462,7,286
SC_476,TH_119,2,119
SC_477,TH_174,7,229
SC_478,TH_333,6,224
SC_479,TH_374,3,231
SC_480,TH_270,7,228
SC_481,TH_188,2,206
SC_483,TH_492,10,220
SC_484,TH_402,2,102
SC_485,TH_40,2,136
SC_487,TH_313,4,153
SC_488,TH_472,4,202
SC_491,TH_475,9,221
SC_493,TH_411,2,100
SC_494,TH_259,5,235
SC_495,TH_309,5,222
SC_496,TH_114,8,109
SC_497,TH_273,8,292
SC_499,TH_259,1,254
SC_501,TH_2,1,186
SC_502,TH_171,5,261
SC_503,TH_134,2,286
SC_504,TH_357,10,114
SC_505,TH_170,8,227
SC_506,TH_208,7,296
SC_507,TH_402,10,209
SC_508,TH_490,2,169
SC_509,TH_81,7,110
SC_510,TH_322,7,265
SC_511,TH_371,7,300
SC_512,TH_276,1,264
SC_513,TH_448,6,186
SC_515,TH_252,6,264
SC_516,TH_96,5,176
SC_517,TH_481,9,192
SC_518,TH_361,8,283
SC_519,TH_226,3,215
SC_520,TH_448,8,141
SC_521,TH_49,1,209
SC_523,TH_481,3,247
SC_524,TH_431,9,142
SC_525,TH_113,9,225
SC_526,TH_48,1,220
SC_527,TH_396,2,209
SC_528,TH_464,5,300
SC_529,TH_419,2,283
SC_531,TH_405,6,115
SC_532,TH_49,5,127
SC_533,TH_484,10,124
SC_536,TH_500,1,183
SC_537,TH_13,7,165
SC_538,TH_267,7,235
SC_540,TH_88,3,194
SC_541,TH_42,4,262
SC_542,TH_255,4,223
SC_543,TH_133,1,192
SC_544,TH_11,10,158
SC_545,TH_352,1,182
SC_546,TH_380,7,218
SC_547,TH_495,6,102
SC_548,TH_118,10,208
SC_549,TH_384,9,286
SC_550,TH_390,10,220
SC_551,TH_379,4,284
SC_552,TH_247,2,227
SC_554,TH_34,2,255
SC_555,TH_246,6,217
SC_557,TH_18,9,299
SC_558,TH_64,2,142
SC_560,TH_440,8,220
SC_561,TH_452,8,272
SC_562,TH_78,2,225
SC_563,TH_254,6,300
SC_564,TH_496,7,126
SC_565,TH_10,1,285
SC_566,TH_394,5,293
SC_567,TH_304,3,157
SC_569,TH_90,5,119
SC_570,TH_347,7,259
SC_571,TH_477,4,293
SC_572,TH_336,1,106
SC_573,TH_263,1,181
SC_574,TH_342,3,144
SC_575,TH_420,7,149
SC_576,TH_244,1,182
SC_577,TH_150,8,296
SC_578,TH_320,10,276
SC_579,TH_389,10,101
SC_580,TH_338,7,225
SC_581,TH_178,4,261
SC_582,TH_379,1,195
SC_583,TH_454,2,253
SC_584,TH_485,4,107
SC_585,TH_280,1,142
SC_586,TH_74,9,153
SC_587,TH_441,9,174
SC_588,TH_137,9,143
SC_589,TH_59,1,298
SC_590,TH_310,4,114
SC_591,TH_14,7,151
SC_592,TH_235,10,285
SC_593,TH_77,6,215
SC_594,TH_171,4,221
SC_596,TH_290,8,274
SC_597,TH_61,3,175
SC_598,TH_442,10,216
SC_599,TH_80,4,226
SC_600,TH_397,8,208
SC_601,TH_27,3,226
SC_602,TH_97,9,118
SC_603,TH_195,3,280
SC_604,TH_187,8,170
SC_606,TH_450,10,145
SC_607,TH_152,3,102
SC_608,TH_48,8,265
SC_609,TH_205,9,297
SC_610,TH_296,6,236
SC_611,TH_10,6,232
SC_612,TH_454,5,143
SC_613,TH_160,10,244
SC_614,TH_154,3,227
SC_615,TH_211,5,179
SC_616,TH_46,1,283
SC_617,TH_48,7,183
SC_618,TH_127,2,276
SC_619,TH_409,5,128
SC_620,TH_232,7,137
SC_621,TH_50,5,142
SC_622,TH_262,4,231
SC_623,TH_232,1,140
SC_625,TH_306,5,224
SC_627,TH_307,3,206
SC_628,TH_345,6,209
SC_629,TH_417,9,209
SC_630,TH_33,1,153
SC_631,TH_175,10,232
SC_632,TH_451,9,248
SC_633,TH_11,4,102
SC_634,TH_326,9,264
SC_635,TH_339,6,230
SC_636,TH_143,8,198
SC_637,TH_239,8,132
SC_638,TH_122,7,173
SC_639,TH_308,6,157
SC_640,TH_17,3,263
SC_641,TH_75,6,116
SC_643,TH_18,4,118
SC_644,TH_18,5,152
SC_645,TH_86,5,188
SC_646,TH_6,9,249
SC_647,TH_394,8,265
SC_648,TH_467,10,211
SC_650,TH_76,10,221
SC_651,TH_117,4,101
SC_652,TH_25,4,129
SC_653,TH_320,2,276
SC_654,TH_182,3,152
SC_655,TH_335,4,266
SC_656,TH_190,1,249
SC_657,TH_128,9,193
SC_658,TH_315,7,131
SC_659,TH_418,6,229
SC_660,TH_240,1,288
SC_661,TH_16,10,201
SC_662,TH_172,1,211
SC_663,TH_42,6,193
SC_664,TH_259,10,236
SC_665,TH_50,7,235
SC_666,TH_152,1,124
SC_667,TH_115,1,116
SC_668,TH_197,10,241
SC_670,TH_332,1,206
SC_671,TH_346,3,266
SC_672,TH_488,1,190
SC_673,TH_392,8,191
SC_674,TH_78,6,194
SC_675,TH_306,3,121
SC_676,TH_436,5,184
SC_677,TH_232,8,289
SC_678,TH_77,1,102
SC_679,TH_155,10,140
SC_680,TH_258,7,176
SC_681,TH_217,3,167
SC_683,TH_406,10,288
SC_685,TH_318,5,138
SC_687,TH_163,10,287
SC_688,TH_260,6,133
SC_689,TH_211,6,220
SC_690,TH_354,9,240
SC_692,TH_223,9,104
SC_693,TH_444,1,165
SC_695,TH_314,6,186
SC_697,TH_11,1,120
SC_699,TH_459,9,146
SC_700,TH_21,10,248
SC_701,TH_325,6,209
SC_703,TH_372,8,242
SC_704,TH_65,9,298
SC_706,TH_12,2,274
SC_707,TH_411,8,220
SC_708,TH_164,9,235
SC_709,TH_159,4,114
SC_710,TH_105,2,111
SC_711,TH_465,8,137
SC_712,TH_358,1,128
SC_714,TH_45,8,175
SC_715,TH_437,3,181
SC_716,TH_151,6,166
SC_718,TH_372,10,253
SC_719,TH_404,2,226
SC_720,TH_407,8,274
SC_721,TH_131,3,161
SC_722,TH_207,10,292
SC_723,TH_82,4,142
SC_724,TH_417,10,122
SC_725,TH_140,8,204
SC_726,TH_367,10,277
SC_727,TH_247,9,163
SC_728,TH_184,2,287
SC_729,TH_478,4,211
SC_730,TH_25,8,100
SC_731,TH_332,5,237
SC_732,TH_31,5,204
SC_733,TH_420,1,256
SC_736,TH_189,9,235
SC_738,TH_420,4,199
SC_739,TH_165,5,133
SC_740,TH_155,8,241
SC_741,TH_260,3,132
SC_742,TH_422,1,255
SC_743,TH_126,7,183
SC_744,TH_174,10,108
SC_745,TH_417,2,289
SC_746,TH_290,1,146
SC_747,TH_382,5,140
SC_748,TH_45,6,189
SC_749,TH_487,9,142
SC_750,TH_80,9,212
SC_752,TH_89,6,110
SC_753,TH_127,9,249
SC_754,TH_388,5,293
SC_755,TH_37,3,248
SC_756,TH_157,4,168
SC_757,TH_485,1,294
SC_758,TH_310,8,129
SC_759,TH_384,4,160
SC_760,TH_25,6,126
SC_761,TH_319,9,182
SC_762,TH_445,8,113
SC_763,TH_344,1,300
SC_765,TH_435,6,204
SC_766,TH_404,10,135
SC_767,TH_190,7,267
SC_768,TH_66,9,181
SC_769,TH_115,2,269
SC_772,TH_247,4,210
SC_773,TH_60,2,249
SC_774,TH_105,9,215
SC_775,TH_84,3,197
SC_776,TH_307,4,193
SC_777,TH_471,10,195
SC_778,TH_343,4,173
SC_779,TH_126,9,117
SC_780,TH_401,1,254
SC_781,TH_193,10,209
SC_782,TH_478,5,119
SC_783,TH_101,3,175
SC_784,TH_433,10,205
SC_785,TH_147,8,149
SC_786,TH_105,7,164
SC_787,TH_318,9,200
SC_788,TH_331,10,291
SC_790,TH_227,9,145
SC_792,TH_258,8,277
SC_793,TH_35,6,160
SC_794,TH_4,9,229
SC_795,TH_304,6,294
SC_796,TH_305,3,137
SC_798,TH_358,4,120
SC_799,TH_248,8,197
SC_800,TH_399,3,117
SC_802,TH_463,7,232
SC_803,TH_153,5,166
SC_804,TH_172,7,233
SC_805,TH_494,9,168
SC_806,TH_247,10,117
SC_807,TH_383,5,180
SC_808,TH_383,4,105
SC_809,TH_436,2,118
SC_810,TH_307,5,279
SC_811,TH_34,5,262
SC_812,TH_488,5,263
SC_813,TH_141,7,199
SC_814,TH_346,2,237
SC_815,TH_228,5,176
SC_816,TH_349,3,253
SC_817,TH_480,10,202
SC_819,TH_45,2,142
SC_820,TH_459,4,291
SC_821,TH_69,7,220
SC_822,TH_136,6,216
SC_823,TH_69,8,262
SC_824,TH_443,3,135
SC_828,TH_120,1,265
SC_829,TH_441,3,103
SC_832,TH_26,2,163
SC_835,TH_263,4,215
SC_836,TH_236,8,213
SC_839,TH_133,8,197
SC_842,TH_386,7,128
SC_843,TH_409,3,112
SC_844,TH_369,10,173
SC_845,TH_245,4,235
SC_846,TH_66,5,103
SC_847,TH_424,4,124
SC_848,TH_458,5,113
SC_849,TH_203,8,265
SC_850,TH_164,5,224
SC_851,TH_100,3,162
SC_853,TH_1,10,195
SC_854,TH_43,6,281
SC_855,TH_445,2,191
SC_856,TH_370,6,158
SC_857,TH_198,5,134
SC_858,TH_272,7,161
SC_859,TH_27,5,185
SC_860,TH_287,7,244
SC_861,TH_251,8,114
SC_862,TH_198,3,282
SC_863,TH_287,9,159
SC_864,TH_13,1,119
SC_865,TH_226,5,222
SC_866,TH_359,9,113
SC_867,TH_334,1,204
SC_868,TH_231,7,249
SC_869,TH_447,9,249
SC_871,TH_252,3,140
SC_872,TH_224,1,201
SC_873,TH_464,2,147
SC_874,TH_487,10,288
SC_875,TH_308,7,287
SC_876,TH_178,8,210
SC_877,TH_50,2,216
SC_879,TH_359,2,235
SC_880,TH_266,4,157
SC_881,TH_259,8,272
SC_882,TH_130,4,180
SC_883,TH_137,6,240
SC_884,TH_313,2,252
SC_885,TH_289,2,102
SC_886,TH_77,8,207
SC_887,TH_165,10,269
SC_888,TH_186,5,243
SC_889,TH_403,3,288
SC_891,TH_204,4,155
SC_892,TH_290,3,178
SC_893,TH_470,2,106
SC_894,TH_380,4,154
SC_895,TH_96,10,186
SC_896,TH_405,3,234
SC_898,TH_420,6,175
SC_899,TH_469,2,112
SC_900,TH_418,4,299
SC_901,TH_158,4,163
SC_903,TH_152,7,281
SC_904,TH_167,10,171
SC_905,TH_383,6,108
SC_906,TH_156,6,111
SC_907,TH_85,3,171
SC_908,TH_427,8,155
SC_910,TH_251,2,187
SC_911,TH_129,10,261
SC_912,TH_412,3,275
SC_914,TH_328,8,177
SC_915,TH_260,5,184
SC_916,TH_285,6,270
SC_918,TH_442,2,283
SC_919,TH_424,2,175
SC_920,TH_218,8,182
SC_921,TH_481,2,149
SC_922,TH_276,10,231
SC_925,TH_23,7,188
SC_926,TH_346,8,130
SC_927,TH_304,9,257
SC_928,TH_71,9,206
SC_929,TH_499,4,290
SC_930,TH_416,9,133
SC_931,TH_241,6,285
SC_932,TH_217,4,202
SC_933,TH_352,2,219
SC_934,TH_66,1,105
SC_935,TH_352,5,159
SC_937,TH_350,1,116
SC_938,TH_467,1,136
SC_939,TH_266,2,149
SC_940,TH_381,4,270
SC_941,TH_217,5,243
SC_942,TH_388,9,211
SC_943,TH_144,10,205
SC_946,TH_128,1,252
SC_948,TH_244,6,205
SC_949,TH_388,10,192
SC_950,TH_450,1,113
SC_951,TH_440,5,128
SC_952,TH_46,2,226
SC_955,TH_306,1,111
SC_956,TH_230,2,245
SC_957,TH_54,5,116
SC_958,TH_159,6,158
SC_961,TH_421,2,194
SC_963,TH_309,2,291
SC_964,TH_276,3,209
SC_965,TH_87,7,279
SC_966,TH_248,5,234
SC_967,TH_347,8,246
SC_968,TH_35,3,206
SC_969,TH_464,8,161
SC_970,TH_235,7,272
SC_972,TH_274,10,176
SC_973,TH_221,2,232
SC_974,TH_259,2,248
SC_976,TH_120,5,113
SC_977,TH_86,7,184
SC_978,TH_435,7,193
SC_979,TH_483,9,176
SC_980,TH_73,8,240
SC_981,TH_293,5,203
SC_982,TH_22,8,171
SC_984,TH_365,8,193
SC_985,TH_149,5,153
SC_986,TH_123,2,143
SC_987,TH_357,4,267
SC_988,TH_162,6,172
SC_989,TH_182,4,178
SC_990,TH_400,9,122
SC_991,TH_32,4,200
SC_992,TH_273,6,203
SC_993,TH_497,4,133
SC_994,TH_331,6,232
SC_995,TH_158,8,195
SC_996,TH_434,5,123
SC_997,TH_366,5,190
SC_998,TH_200,3,233
SC_999,TH_311,4,134
SC_1000,TH_467,3,228
