seat_id,booking_id,screen_id,seat_number,seat_type,charger,status,show_id
ST_206,BK_3070,SC_964,D18,Premium,True,Booked,
ST_207,BK_9088,SC_430,B10,Premium,True,Booked,
ST_208,BK_4495,SC_44,A1,Regular,True,Available,
ST_209,,SC_171,C14,Premium,True,Booked,
ST_210,BK_4604,SC_788,D7,Regular,True,Booked,
ST_211,BK_3378,SC_986,C17,Regular,True,Booked,
ST_212,BK_6057,SC_76,C12,Regular,True,Booked,
ST_213,BK_6444,SC_63,B14,Regular,True,Booked,
ST_215,BK_4552,SC_554,B3,Regular,True,Booked,
ST_216,BK_7086,SC_776,E20,Regular,True,Reserved,
ST_217,BK_1653,SC_192,D12,Premium,True,Available,
ST_218,BK_3070,SC_560,E9,Premium,True,Booked,
ST_219,BK_5719,SC_866,B19,Regular,True,Booked,
ST_220,BK_3131,SC_416,A13,Premium,True,Booked,
ST_221,BK_2099,SC_639,C7,Regular,True,Booked,
ST_222,BK_9569,SC_772,D19,Premium,True,Booked,
ST_223,BK_5801,SC_808,D15,Regular,True,Booked,
ST_224,BK_6662,SC_319,E3,Regular,True,Booked,
ST_225,BK_5154,SC_501,D15,Regular,True,Booked,
ST_226,BK_8859,SC_45,C9,Premium,True,Booked,
ST_227,BK_8336,SC_126,C2,Regular,True,Available,
ST_228,BK_2502,SC_1000,B3,Regular,True,Booked,
ST_229,BK_9140,SC_965,B16,Regular,True,Available,
ST_230,BK_624,SC_346,A13,VIP,True,Available,
ST_231,BK_6558,SC_395,E1,Premium,True,Booked,
ST_232,BK_7293,SC_252,A5,Regular,True,Booked,
ST_233,BK_6941,SC_658,D20,Premium,True,Booked,
ST_234,,SC_599,B14,Regular,True,Booked,
ST_235,BK_5675,SC_46,B17,Regular,True,Reserved,
ST_236,BK_934,SC_803,A16,VIP,True,Available,
ST_237,BK_6116,SC_896,B11,Premium,True,Booked,
ST_238,,SC_621,A8,Regular,True,Booked,
ST_239,BK_1337,SC_861,C1,Regular,True,Booked,
ST_240,BK_5137,SC_212,B15,Premium,True,Booked,
ST_241,BK_841,SC_424,A5,VIP,True,Reserved,
ST_243,BK_9796,SC_54,C16,Regular,True,Booked,
ST_245,,SC_101,A9,Regular,True,Booked,
ST_246,BK_3091,SC_565,C18,Regular,True,Booked,
ST_247,BK_6237,SC_680,D19,Regular,True,Booked,
ST_248,BK_4844,SC_499,B10,Premium,True,Booked,
ST_249,BK_9700,SC_154,E5,Regular,True,Booked,
ST_250,BK_9478,SC_491,A2,Regular,True,Reserved,
ST_251,BK_5052,SC_644,E6,Regular,True,Booked,
ST_252,BK_9895,SC_336,E6,Premium,True,Reserved,
ST_253,BK_619,SC_674,E1,Regular,True,Available,
ST_254,BK_2312,SC_608,B18,Regular,True,Available,
ST_255,BK_6734,SC_884,C13,Premium,True,Available,
ST_258,BK_597,SC_83,D5,Regular,True,Booked,
ST_259,BK_8474,SC_202,A6,Premium,True,Booked,
ST_260,BK_8710,SC_352,E15,Premium,True,Booked,
ST_261,BK_4925,SC_928,A16,VIP,True,Available,
ST_262,BK_6325,SC_621,B20,Regular,True,Available,
ST_264,BK_553,SC_354,B2,Regular,True,Available,
ST_266,,SC_242,C5,Premium,True,Booked,
ST_267,BK_2238,SC_729,A3,Regular,True,Booked,
ST_268,BK_8062,SC_158,A1,Premium,True,Booked,
ST_269,BK_689,SC_216,D7,Premium,True,Booked,
ST_270,BK_5346,SC_122,B13,Regular,True,Booked,
ST_271,BK_7698,SC_371,D8,Regular,True,Booked,
ST_272,BK_6728,SC_327,A13,VIP,True,Reserved,
ST_273,BK_9462,SC_153,E13,Regular,True,Booked,
ST_274,BK_7861,SC_720,D16,Regular,True,Available,
ST_275,BK_3690,SC_488,E15,Regular,True,Available,
ST_276,,SC_919,B19,Premium,True,Booked,
ST_277,BK_7339,SC_297,C3,Premium,True,Booked,
ST_278,BK_5988,SC_89,A3,Premium,True,Booked,
ST_279,BK_3343,SC_915,C10,Premium,True,Reserved,
ST_280,BK_8689,SC_151,D2,Regular,True,Booked,
ST_281,,SC_638,B5,Premium,True,Booked,
ST_282,BK_8248,SC_874,C13,Regular,True,Booked,
ST_283,BK_5666,SC_275,C13,Regular,True,Booked,
ST_284,,SC_813,E16,Regular,True,Booked,
ST_285,,SC_237,C13,Regular,True,Booked,
ST_286,BK_2260,SC_166,A15,Regular,True,Available,
ST_287,BK_1407,SC_443,E2,Regular,True,Booked,
ST_288,BK_6523,SC_996,B13,Regular,True,Available,
ST_289,BK_581,SC_480,E16,Regular,True,Booked,
ST_290,,SC_97,B4,Regular,True,Available,
ST_291,BK_5612,SC_910,A16,Regular,True,Available,
ST_292,BK_2690,SC_877,D4,Regular,True,Reserved,
ST_294,BK_5350,SC_958,B13,Regular,True,Booked,
ST_295,BK_7042,SC_296,A13,Premium,True,Booked,
ST_297,BK_561,SC_204,D8,VIP,True,Booked,
ST_299,BK_8296,SC_243,C12,Regular,True,Booked,
ST_300,BK_1484,SC_723,A15,Premium,True,Booked,
ST_301,BK_5997,SC_634,C8,Regular,True,Available,
ST_302,BK_1685,SC_245,C7,Premium,True,Reserved,
ST_303,,SC_739,C5,Regular,True,Booked,
ST_304,BK_5242,SC_630,D12,Regular,True,Booked,
ST_305,BK_2906,SC_976,D4,Premium,True,Booked,
ST_306,BK_3546,SC_32,A8,Regular,True,Available,
ST_307,BK_8608,SC_464,D3,Regular,True,Available,
ST_308,BK_4145,SC_57,C17,Regular,True,Reserved,
ST_309,BK_4673,SC_483,C16,Regular,True,Booked,
ST_310,BK_9552,SC_560,D2,Regular,True,Booked,
ST_311,BK_5357,SC_149,D13,Regular,True,Booked,
ST_312,,SC_728,C20,VIP,True,Booked,
ST_313,BK_4587,SC_306,A13,VIP,True,Booked,
ST_314,BK_6657,SC_901,E11,Regular,True,Booked,
ST_315,,SC_526,C11,VIP,True,Available,
ST_317,BK_3465,SC_246,B19,Regular,True,Booked,
ST_318,BK_1518,SC_398,C8,Premium,True,Booked,
ST_319,BK_9207,SC_135,D7,Regular,True,Booked,
ST_320,BK_7718,SC_599,D12,Regular,True,Booked,
ST_321,BK_1042,SC_750,C7,Regular,True,Booked,
ST_322,BK_4837,SC_918,E18,Regular,True,Reserved,
ST_323,BK_3837,SC_6,B12,Regular,True,Available,
ST_324,BK_3191,SC_391,B5,Regular,True,Booked,
ST_325,,SC_202,D11,Regular,True,Booked,
ST_326,,SC_116,A15,Regular,True,Booked,
ST_327,BK_8333,SC_293,B3,Premium,True,Reserved,
ST_328,BK_7681,SC_94,A10,Premium,True,Reserved,
ST_329,,SC_35,E10,Regular,True,Booked,
ST_330,BK_5293,SC_552,C20,Premium,True,Reserved,
ST_331,BK_9444,SC_648,E9,Regular,True,Booked,
ST_332,BK_6578,SC_848,D7,Regular,True,Booked,
ST_333,,SC_347,E14,Regular,True,Booked,
ST_335,BK_374,SC_650,D9,Regular,True,Reserved,
ST_339,,SC_646,A3,Regular,True,Booked,
ST_340,BK_8693,SC_584,C2,Regular,True,Available,
ST_341,BK_4434,SC_226,B17,Regular,True,Booked,
ST_342,BK_8031,SC_426,D18,Premium,True,Available,
ST_343,BK_3267,SC_941,E12,Regular,True,Booked,
ST_344,,SC_876,D6,Premium,True,Booked,
ST_345,BK_1981,SC_857,A11,Regular,True,Booked,
ST_346,BK_7796,SC_612,C18,Premium,True,Booked,
ST_347,,SC_925,C3,VIP,True,Booked,
ST_348,BK_7863,SC_96,B12,Regular,True,Booked,
ST_349,BK_7022,SC_759,E6,Regular,True,Booked,
ST_350,BK_7659,SC_213,C8,Regular,True,Booked,
ST_351,BK_6722,SC_313,D17,Regular,True,Available,
ST_352,BK_825,SC_103,E13,Regular,True,Booked,
ST_353,BK_9082,SC_312,B14,Premium,True,Available,
ST_354,,SC_55,C8,Premium,True,Booked,
ST_356,BK_7673,SC_283,C1,Premium,True,Booked,
ST_357,,SC_778,C11,Regular,True,Booked,
ST_358,BK_5998,SC_44,A4,Premium,True,Booked,
ST_359,BK_9430,SC_762,A6,Premium,True,Booked,
ST_360,BK_8693,SC_367,C7,Regular,True,Available,
ST_361,BK_1651,SC_209,D5,Regular,True,Booked,
ST_363,BK_5539,SC_154,C7,Regular,True,Booked,
ST_365,BK_6381,SC_296,D2,Premium,True,Available,
ST_366,BK_225,SC_23,E14,Regular,True,Available,
ST_367,BK_7054,SC_719,A9,Regular,True,Available,
ST_368,,SC_672,D6,VIP,True,Booked,
ST_369,BK_9870,SC_200,E2,Regular,True,Booked,
ST_370,BK_5934,SC_209,B1,Regular,True,Booked,
ST_371,BK_9196,SC_276,A8,Regular,True,Booked,
ST_372,BK_7965,SC_613,D10,Premium,True,Available,
ST_373,,SC_875,C4,Regular,True,Available,
ST_374,,SC_56,D17,Regular,True,Booked,
ST_375,BK_9513,SC_265,D17,Regular,True,Booked,
ST_377,BK_4168,SC_290,B3,VIP,True,Booked,
ST_379,BK_1634,SC_997,E1,Regular,True,Booked,
ST_380,BK_9196,SC_755,E16,Regular,True,Booked,
ST_381,,SC_401,C20,Regular,True,Booked,
ST_382,BK_3516,SC_839,B12,Regular,True,Booked,
ST_385,BK_3047,SC_113,C16,Regular,True,Available,
ST_386,BK_8201,SC_591,A1,Premium,True,Booked,
ST_387,BK_4982,SC_912,B7,Premium,True,Booked,
ST_388,BK_8734,SC_849,D5,Regular,True,Booked,
ST_389,BK_9743,SC_636,A5,Regular,True,Available,
ST_390,BK_4742,SC_609,B3,Premium,True,Booked,
ST_391,BK_7070,SC_362,C12,Premium,True,Booked,
ST_394,BK_9433,SC_13,D8,Premium,True,Reserved,
ST_395,BK_8283,SC_728,C6,Regular,True,Booked,
ST_396,,SC_341,C11,Regular,True,Booked,
ST_397,BK_2933,SC_860,C8,Premium,True,Available,
ST_398,,SC_71,E17,VIP,True,Booked,
ST_399,BK_3911,SC_905,C5,Regular,True,Booked,
ST_400,,SC_633,C9,Regular,True,Booked,
ST_401,BK_6031,SC_988,E14,Regular,True,Reserved,
ST_402,BK_2504,SC_893,B19,Regular,True,Booked,
ST_403,BK_9310,SC_946,D12,Regular,True,Reserved,
ST_404,BK_4228,SC_270,A19,Regular,True,Booked,
ST_405,BK_413,SC_658,C6,Regular,True,Reserved,
ST_406,,SC_80,C19,Regular,True,Booked,
ST_407,,SC_996,C4,Regular,True,Booked,
ST_408,BK_6554,SC_868,E9,Regular,True,Booked,
ST_409,BK_6204,SC_808,B14,Premium,True,Available,
ST_410,BK_9456,SC_130,C16,Regular,True,Booked,
ST_411,,SC_374,B3,Premium,True,Booked,
ST_412,,SC_700,E3,Premium,True,Booked,
ST_413,BK_6159,SC_601,D18,VIP,True,Booked,
ST_415,,SC_32,D10,VIP,True,Booked,
ST_416,BK_4799,SC_268,A15,Regular,True,Booked,
ST_417,BK_2207,SC_561,E8,Premium,True,Booked,
ST_418,,SC_775,C13,Premium,True,Booked,
ST_420,BK_2779,SC_627,A4,Regular,True,Booked,
ST_421,BK_1202,SC_141,C6,VIP,True,Available,
ST_422,,SC_536,C1,Premium,True,Booked,
ST_423,BK_844,SC_949,E13,VIP,True,Booked,
ST_424,BK_4476,SC_929,D1,Regular,True,Booked,
ST_425,BK_9786,SC_301,D20,Regular,True,Booked,
ST_426,BK_2211,SC_413,C8,Regular,True,Reserved,
ST_428,BK_6989,SC_50,C2,Regular,True,Booked,
ST_429,BK_1531,SC_54,B13,Regular,True,Booked,
ST_430,BK_3871,SC_885,E9,Regular,True,Booked,
ST_431,,SC_66,D10,Regular,True,Booked,
ST_432,BK_9463,SC_181,D9,VIP,True,Booked,
ST_433,BK_5011,SC_647,B19,Regular,True,Booked,
ST_434,BK_9943,SC_809,B1,Regular,True,Booked,
ST_435,BK_9466,SC_601,B19,Regular,True,Reserved,
ST_437,BK_6008,SC_55,D18,Regular,True,Reserved,
ST_439,BK_1816,SC_644,D14,Regular,True,Booked,
ST_440,,SC_171,E10,Regular,True,Booked,
ST_441,BK_5836,SC_625,C3,Regular,True,Available,
ST_442,BK_4085,SC_558,D6,Regular,True,Available,
ST_443,BK_9300,SC_656,B17,Premium,True,Reserved,
ST_444,BK_2405,SC_580,C16,Regular,True,Booked,
ST_445,BK_3740,SC_970,A12,Regular,True,Booked,
ST_446,,SC_617,E1,Premium,True,Available,
ST_447,BK_2066,SC_108,E9,Regular,True,Booked,
ST_448,BK_1148,SC_850,C18,Regular,True,Booked,
ST_449,BK_6736,SC_655,A4,Regular,True,Booked,
ST_450,,SC_554,A13,Premium,True,Available,
ST_451,BK_7649,SC_493,C15,VIP,True,Booked,
ST_452,BK_9117,SC_281,E10,Regular,True,Available,
ST_453,BK_5650,SC_138,E3,Regular,True,Booked,
ST_454,BK_833,SC_882,C19,Premium,True,Booked,
ST_455,BK_8712,SC_815,A20,Premium,True,Booked,
ST_456,BK_2687,SC_322,C12,Premium,True,Reserved,
ST_457,BK_2707,SC_597,D11,Regular,True,Booked,
ST_458,,SC_934,A3,Regular,True,Booked,
ST_459,,SC_526,B14,Premium,True,Booked,
ST_460,BK_9204,SC_910,E20,Regular,True,Booked,
ST_461,BK_3255,SC_30,C11,Regular,True,Booked,
ST_462,BK_8977,SC_264,B18,Regular,True,Booked,
ST_463,BK_2568,SC_566,A6,Regular,True,Booked,
ST_464,BK_9308,SC_454,D14,Regular,True,Booked,
ST_465,BK_9027,SC_738,B20,Premium,True,Booked,
ST_466,BK_2304,SC_105,D9,Premium,True,Booked,
ST_467,BK_2263,SC_938,C2,Premium,True,Booked,
ST_468,,SC_269,C6,Premium,True,Booked,
ST_469,BK_4515,SC_733,B14,Regular,True,Booked,
ST_470,BK_4333,SC_661,C4,Regular,True,Available,
ST_471,BK_71,SC_869,C2,Regular,True,Booked,
ST_472,BK_9182,SC_476,D14,Regular,True,Booked,
ST_473,BK_2763,SC_958,E14,Regular,True,Booked,
ST_474,BK_5245,SC_938,A11,Regular,True,Booked,
ST_475,BK_1059,SC_829,B9,Regular,True,Available,
ST_476,BK_5811,SC_521,B12,Regular,True,Booked,
ST_477,BK_2154,SC_116,E5,Premium,True,Available,
ST_478,BK_1624,SC_344,A18,Regular,True,Booked,
ST_479,BK_6114,SC_129,C3,Regular,True,Booked,
ST_480,BK_8261,SC_95,A18,VIP,True,Reserved,
ST_481,BK_9178,SC_358,D1,Regular,True,Reserved,
ST_482,BK_1252,SC_748,D19,Regular,True,Booked,
ST_483,BK_5670,SC_532,A1,Regular,True,Booked,
ST_484,BK_2813,SC_276,A2,Regular,True,Booked,
ST_486,BK_8708,SC_430,A9,Regular,True,Booked,
ST_487,BK_2449,SC_18,E20,Regular,True,Available,
ST_488,BK_9669,SC_707,D11,Premium,True,Booked,
ST_489,BK_415,SC_794,C18,VIP,True,Booked,
ST_490,,SC_123,A17,Premium,True,Booked,
ST_491,BK_8390,SC_86,A15,Premium,True,Booked,
ST_493,BK_6057,SC_313,B16,Regular,True,Booked,
ST_494,BK_3130,SC_495,D9,Premium,True,Booked,
ST_495,BK_2325,SC_611,B2,Regular,True,Available,
ST_497,BK_6935,SC_264,B1,Premium,True,Booked,
ST_498,BK_6407,SC_517,D17,Regular,True,Booked,
ST_499,BK_7030,SC_59,D9,Regular,True,Available,
ST_500,BK_3355,SC_303,B12,Regular,True,Booked,
ST_501,BK_2368,SC_708,A20,Regular,True,Reserved,
ST_503,BK_2760,SC_927,E20,Regular,True,Reserved,
ST_504,BK_6592,SC_376,B5,Premium,True,Booked,
ST_505,BK_9873,SC_427,A11,Premium,True,Booked,
ST_506,BK_5446,SC_623,E8,Regular,True,Booked,
ST_507,BK_1855,SC_807,E16,VIP,True,Booked,
ST_508,BK_2855,SC_767,D15,Premium,True,Booked,
ST_509,,SC_9,E17,Premium,True,Booked,
ST_511,BK_327,SC_397,C7,Premium,True,Booked,
ST_512,BK_9184,SC_858,C8,Regular,True,Reserved,
ST_513,BK_6414,SC_663,E9,Regular,True,Booked,
ST_514,BK_7208,SC_912,D12,Regular,True,Booked,
ST_515,BK_3325,SC_821,B8,Regular,True,Booked,
ST_516,BK_8516,SC_712,D14,Regular,True,Booked,
ST_517,,SC_383,A12,Premium,True,Booked,
ST_518,BK_4935,SC_732,D13,Regular,True,Booked,
ST_519,BK_2093,SC_357,D3,Regular,True,Reserved,
ST_520,BK_4650,SC_218,A2,Regular,True,Available,
ST_521,BK_3439,SC_675,A10,Regular,True,Booked,
ST_522,BK_2875,SC_790,E20,Regular,True,Booked,
ST_523,BK_1912,SC_493,E9,Regular,True,Reserved,
ST_524,BK_6881,SC_340,C18,Regular,True,Booked,
ST_526,BK_7939,SC_495,D8,Premium,True,Booked,
ST_527,BK_1121,SC_421,B3,Regular,True,Booked,
ST_528,BK_9864,SC_733,D4,Premium,True,Reserved,
ST_529,BK_5742,SC_6,D18,Regular,True,Booked,
ST_530,,SC_579,A9,Regular,True,Booked,
ST_531,BK_2779,SC_151,B16,Regular,True,Booked,
ST_532,BK_5958,SC_367,C17,Regular,True,Booked,
ST_533,BK_3029,SC_763,E10,Regular,True,Available,
ST_534,,SC_409,A13,Premium,True,Available,
